"",BBAI3.Q.DE.N.V.LE.F.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:03,
2005-10,1055189,
2006-01,1069808,
2006-04,1072404,
2006-07,1091801,
2006-10,1104680,
2007-01,1127954,
2007-04,1140337,
2007-07,1144049,
2007-10,1142979,
2008-01,1146306,
2008-04,1142855,
2008-07,1137218,
2008-10,1114124,
2009-01,1123147,
2009-04,1132318,
2009-07,1148466,
2009-10,1156072,
2010-01,1189010,
2010-04,1193115,
2010-07,1194980,
2010-10,1204468,
2011-01,1226943,
2011-04,1228142,
2011-07,1219997,
2011-10,1217131,
2012-01,1247516,
2012-04,1253590,
2012-07,1272031,
2012-10,1289847,
2013-01,1321545,
2013-04,1333291,
2013-07,1343707,
2013-10,1363541,
2014-01,1390169,
2014-04,1397101,
2014-07,1406952,
