"",BBAI3.Q.DE.N.V.LE.F51M.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:26,
2005-10,18920,
2006-01,18565,
2006-04,16703,
2006-07,18451,
2006-10,18687,
2007-01,20165,
2007-04,22030,
2007-07,22630,
2007-10,21458,
2008-01,19589,
2008-04,17817,
2008-07,15828,
2008-10,14243,
2009-01,11778,
2009-04,11478,
2009-07,13608,
2009-10,13738,
2010-01,15491,
2010-04,13567,
2010-07,13147,
2010-10,14307,
2011-01,15958,
2011-04,14874,
2011-07,11572,
2011-10,11831,
2012-01,14487,
2012-04,13073,
2012-07,14801,
2012-10,16546,
2013-01,18577,
2013-04,18773,
2013-07,19108,
2013-10,21237,
2014-01,21284,
2014-04,20961,
2014-07,21359,
