"",BBAI3.Q.DE.N.V.LE.F34.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F34.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:19,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,3097,
2009-04,3186,
2009-07,3016,
2009-10,3087,
2010-01,3154,
2010-04,3183,
2010-07,3397,
2010-10,3219,
2011-01,3135,
2011-04,3526,
2011-07,3721,
2011-10,3829,
2012-01,4572,
2012-04,4604,
2012-07,4672,
2012-10,4555,
2013-01,4759,
2013-04,5431,
2013-07,5529,
2013-10,4589,
2014-01,4997,
2014-04,4914,
2014-07,5233,
