"",BBFI1.Q.N.DE.W1.S12M.S1.LE.L.FA.O.F6._Z._T._X.N,BBFI1.Q.N.DE.W1.S12M.S1.LE.L.FA.O.F6._Z._T._X.N_FLAGS
"","IIP - Other Investment - Insurance, pension and standardized guarantee schemes - Liabilities - Positions - Financial corporations other than MFIs - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:04:42,
1999-10,50016,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,58468,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,75307,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,85250,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,87903,
2004-01,87677,
2004-04,87545,
2004-07,88001,
2004-10,89546,
2005-01,92630,
2005-04,96350,
2005-07,99752,
2005-10,101892,
2006-01,101751,
2006-04,100073,
2006-07,97536,
2006-10,94803,
2007-01,92643,
2007-04,91035,
2007-07,90052,
2007-10,89764,
2008-01,88715,
2008-04,89425,
2008-07,90118,
2008-10,90446,
2009-01,90078,
2009-04,89436,
2009-07,88942,
2009-10,89020,
2010-01,90117,
2010-04,91931,
2010-07,94214,
2010-10,96701,
2011-01,99394,
2011-04,102029,
2011-07,104603,
2011-10,107096,
2012-01,109519,
2012-04,111777,
2012-07,113789,
2012-10,115478,
2013-01,116701,
2013-04,117654,
2013-07,118422,
2013-10,119103,
2014-01,119996,
2014-04,120893,
2014-07,121791,
