"",BBK01.CELQ0I,BBK01.CELQ0I_FLAGS
"",short-term time deposits                              debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:18,
1999-01,-0.2,
1999-04,-8.0,
1999-07,-4.8,
1999-10,3.8,
2000-01,-4.0,
2000-04,0.9,
2000-07,-3.1,
2000-10,14.9,
2001-01,8.3,
2001-04,3.3,
2001-07,3.6,
2001-10,0.3,
2002-01,-4.1,
2002-04,-4.6,
2002-07,-2.0,
2002-10,0.1,
2003-01,-5.6,
2003-04,-6.2,
2003-07,-5.2,
2003-10,-5.6,
2004-01,-4.7,
2004-04,-5.5,
2004-07,-4.2,
2004-10,1.0,
2005-01,-5.3,
2005-04,-1.7,
2005-07,-0.6,
2005-10,3.4,
2006-01,3.6,
2006-04,2.1,
2006-07,11.3,
2006-10,10.9,
2007-01,8.2,
2007-04,8.0,
2007-07,18.1,
2007-10,22.7,
2008-01,16.5,
2008-04,17.2,
2008-07,21.3,
2008-10,25.1,
2009-01,-49.8,
2009-04,-25.3,
2009-07,-31.6,
2009-10,-26.4,
2010-01,-16.3,
2010-04,-6.1,
2010-07,-5.8,
2010-10,2.4,
2011-01,-3.8,
2011-04,4.0,
2011-07,6.0,
2011-10,2.8,
2012-01,1.7,
2012-04,-1.1,
2012-07,-5.4,
2012-10,-8.1,
2013-01,-6.1,
2013-04,-4.0,
2013-07,-5.6,
2013-10,-1.7,
2014-01,-0.5,
2014-04,0.5,
2014-07,-0.6,
