"",BBSF2.M.1.S.I0122.IMM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.IMM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
1998-07,-,Nothing exists
1998-08,-,Nothing exists
1998-09,-,Nothing exists
1998-10,-,Nothing exists
1998-11,-,Nothing exists
1998-12,-,Nothing exists
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,-,Nothing exists
2001-02,-,Nothing exists
2001-03,-,Nothing exists
2001-04,-,Nothing exists
2001-05,-,Nothing exists
2001-06,-,Nothing exists
2001-07,0,
2001-08,0,
2001-09,12,
2001-10,18,
2001-11,18,
2001-12,27,
2002-01,27,
2002-02,29,
2002-03,30,
2002-04,30,
2002-05,30,
2002-06,30,
2002-07,36,
2002-08,36,
2002-09,42,
2002-10,42,
2002-11,75,
2002-12,78,
2003-01,78,
2003-02,78,
2003-03,80,
2003-04,97,
2003-05,99,
2003-06,114,
2003-07,115,
2003-08,115,
2003-09,116,
2003-10,148,
2003-11,147,
2003-12,145,
2004-01,146,
2004-02,151,
2004-03,152,
2004-04,158,
2004-05,159,
2004-06,160,
2004-07,176,
2004-08,178,
2004-09,175,
2004-10,178,
2004-11,180,
2004-12,196,
2005-01,243,
2005-02,243,
2005-03,246,
2005-04,248,
2005-05,289,
2005-06,294,
2005-07,295,
2005-08,295,
2005-09,320,
2005-10,315,
2005-11,315,
2005-12,415,
2006-01,416,
2006-02,447,
2006-03,471,
2006-04,461,
2006-05,1778,
2006-06,1771,
2006-07,1810,
2006-08,1800,
2006-09,1811,
2006-10,1808,
2006-11,1824,
2006-12,1762,
2007-01,1773,
2007-02,1775,
2007-03,1793,
2007-04,1785,
2007-05,1801,
2007-06,1833,
2007-07,1864,
2007-08,1612,
2007-09,1620,
2007-10,1578,
2007-11,1580,
2007-12,1592,
2008-01,1540,
2008-02,1615,
2008-03,1043,
2008-04,1063,
2008-05,1067,
2008-06,1090,
2008-07,1118,
2008-08,1191,
2008-09,1204,
2008-10,1233,
2008-11,1282,
2008-12,1272,
2009-01,1316,
2009-02,1367,
2009-03,1355,
2009-04,1359,
2009-05,1512,
2009-06,1576,
2009-07,1583,
2009-08,1736,
2009-09,1611,
2009-10,2978,
2009-11,2965,
2009-12,3003,
2010-01,3074,
2010-02,3056,
2010-03,3067,
2010-04,3087,
2010-05,3070,
2010-06,3119,
2010-07,3164,
2010-08,3173,
2010-09,3217,
2010-10,3512,
2010-11,3532,
2010-12,3608,
2011-01,3638,
2011-02,3599,
2011-03,3633,
2011-04,3699,
2011-05,3526,
2011-06,3581,
2011-07,3660,
2011-08,3768,
2011-09,3483,
2011-10,3475,
2011-11,3949,
2011-12,4078,
2012-01,4085,
2012-02,4103,
2012-03,4189,
2012-04,4259,
2012-05,4387,
2012-06,4535,
2012-07,4592,
2012-08,4704,
2012-09,4757,
2012-10,4761,
2012-11,4945,
2012-12,5351,
2013-01,5492,
2013-02,5625,
2013-03,5710,
2013-04,5724,
2013-05,5960,
2013-06,6074,
2013-07,6052,
2013-08,6283,
2013-09,6468,
2013-10,6533,
2013-11,6617,
2013-12,6889,
2014-01,6962,
2014-02,7049,
2014-03,7099,
2014-04,8062,
2014-05,8171,
2014-06,8187,
2014-07,8284,
2014-08,8244,
2014-09,8353,
2014-10,8469,
2014-11,8530,
