"",BBSF2.M.1.P.00000.ALT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.ALT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
1998-03,-,Nothing exists
1998-04,-,Nothing exists
1998-05,-,Nothing exists
1998-06,-,Nothing exists
1998-07,-,Nothing exists
1998-08,-,Nothing exists
1998-09,-,Nothing exists
1998-10,180,
1998-11,126,
1998-12,63,
1999-01,44,
1999-02,76,
1999-03,56,
1999-04,26,
1999-05,82,
1999-06,42,
1999-07,61,
1999-08,67,
1999-09,89,
1999-10,99,
1999-11,97,
1999-12,110,
2000-01,129,
2000-02,123,
2000-03,123,
2000-04,110,
2000-05,121,
2000-06,105,
2000-07,121,
2000-08,121,
2000-09,93,
2000-10,97,
2000-11,101,
2000-12,73,
2001-01,94,
2001-02,37,
2001-03,-6,
2001-04,21,
2001-05,15,
2001-06,12,
2001-07,-6,
2001-08,-28,
2001-09,-41,
2001-10,5,
2001-11,6,
2001-12,-15,
2002-01,-39,
2002-02,-28,
2002-03,-20,
2002-04,59,
2002-05,-9,
2002-06,-12,
2002-07,-18,
2002-08,-25,
2002-09,-65,
2002-10,-27,
2002-11,-11,
2002-12,-16,
2003-01,-39,
2003-02,-38,
2003-03,-21,
2003-04,-6,
2003-05,-9,
2003-06,-17,
2003-07,-6,
2003-08,-3,
2003-09,-7,
2003-10,-1,
2003-11,-6,
2003-12,-6,
2004-01,-7,
2004-02,-4,
2004-03,-17,
2004-04,-8,
2004-05,-7,
2004-06,-14,
2004-07,-14,
2004-08,-10,
2004-09,-12,
2004-10,-12,
2004-11,-19,
2004-12,-51,
2005-01,-13,
2005-02,-14,
2005-03,-12,
2005-04,-21,
2005-05,-13,
2005-06,-16,
2005-07,-6,
2005-08,-15,
2005-09,-8,
2005-10,1,
2005-11,-19,
2005-12,-13,
2006-01,-8,
2006-02,-17,
2006-03,-26,
2006-04,-15,
2006-05,-3,
2006-06,-38,
2006-07,-6,
2006-08,-9,
2006-09,-9,
2006-10,-14,
2006-11,-16,
2006-12,-14,
2007-01,-11,
2007-02,-20,
2007-03,-38,
2007-04,-23,
2007-05,-25,
2007-06,-31,
2007-07,-21,
2007-08,-21,
2007-09,-13,
2007-10,-16,
2007-11,-11,
2007-12,-6,
2008-01,-37,
2008-02,-17,
2008-03,-19,
2008-04,-20,
2008-05,-137,
2008-06,-15,
2008-07,-40,
2008-08,-7,
2008-09,-11,
2008-10,-22,
2008-11,-7,
2008-12,-1,
2009-01,0,
2009-02,-14,
2009-03,-4,
2009-04,-1,
2009-05,-3,
2009-06,-1,
2009-07,-18,
2009-08,0,
2009-09,-3,
2009-10,0,
2009-11,-1,
2009-12,-4,
2010-01,-1,
2010-02,-1,
2010-03,-2,
2010-04,-3,
2010-05,-3,
2010-06,-2,
2010-07,-2,
2010-08,-25,
2010-09,-4,
2010-10,8,
2010-11,6,
2010-12,-2,
2011-01,7,
2011-02,4,
2011-03,-2,
2011-04,7,
2011-05,8,
2011-06,2,
2011-07,-1,
2011-08,4,
2011-09,9,
2011-10,5,
2011-11,3,
2011-12,-1,
2012-01,1,
2012-02,-8,
2012-03,-17,
2012-04,-5,
2012-05,-5,
2012-06,-6,
2012-07,-6,
2012-08,-9,
2012-09,-7,
2012-10,-4,
2012-11,-44,
2012-12,33,
2013-01,-8,
2013-02,-6,
2013-03,-13,
2013-04,-21,
2013-05,-11,
2013-06,-6,
2013-07,-5,
2013-08,-4,
2013-09,-5,
2013-10,-5,
2013-11,-8,
2013-12,-8,
2014-01,-6,
2014-02,-4,
2014-03,-7,
2014-04,-2,
2014-05,-3,
2014-06,-6,
2014-07,-2,
2014-08,-3,
2014-09,-5,
2014-10,-1,
2014-11,-3,
