"",BBFN1.M.DE.N.1.A.SK.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SK.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1991-09,0.000,
1991-10,0.000,
1991-11,0.000,
1991-12,0.000,
1992-01,0.000,
1992-02,0.000,
1992-03,0.000,
1992-04,0.000,
1992-05,0.000,
1992-06,0.000,
1992-07,0.000,
1992-08,0.000,
1992-09,0.000,
1992-10,0.000,
1992-11,0.000,
1992-12,0.000,
1993-01,0.013,
1993-02,0.013,
1993-03,0.012,
1993-04,0.011,
1993-05,0.011,
1993-06,0.010,
1993-07,0.008,
1993-08,0.007,
1993-09,0.007,
1993-10,0.006,
1993-11,0.005,
1993-12,0.004,
1994-01,0.007,
1994-02,0.010,
1994-03,0.010,
1994-04,0.015,
1994-05,0.015,
1994-06,0.015,
1994-07,0.011,
1994-08,0.011,
1994-09,0.011,
1994-10,0.011,
1994-11,0.011,
1994-12,0.011,
1995-01,0.011,
1995-02,0.011,
1995-03,0.011,
1995-04,0.012,
1995-05,0.011,
1995-06,0.014,
1995-07,0.012,
1995-08,0.014,
1995-09,0.014,
1995-10,0.017,
1995-11,0.014,
1995-12,0.014,
1996-01,0.013,
1996-02,0.012,
1996-03,0.013,
1996-04,0.013,
1996-05,0.015,
1996-06,0.012,
1996-07,0.010,
1996-08,0.011,
1996-09,0.017,
1996-10,0.016,
1996-11,0.017,
1996-12,0.019,
1997-01,0.019,
1997-02,0.020,
1997-03,0.024,
1997-04,0.022,
1997-05,0.020,
1997-06,0.034,
1997-07,0.027,
1997-08,0.030,
1997-09,0.031,
1997-10,0.031,
1997-11,0.026,
1997-12,0.026,
1998-01,0.028,
1998-02,0.036,
1998-03,0.033,
1998-04,0.039,
1998-05,0.044,
1998-06,0.086,
1998-07,0.061,
1998-08,0.088,
1998-09,0.071,
1998-10,0.065,
1998-11,0.078,
1998-12,0.112,
1999-01,0.117,
1999-02,0.113,
1999-03,0.116,
1999-04,0.121,
1999-05,0.136,
1999-06,0.141,
1999-07,0.144,
1999-08,0.137,
1999-09,0.130,
1999-10,0.138,
1999-11,0.141,
1999-12,0.142,
2000-01,0.141,
2000-02,0.141,
2000-03,0.142,
2000-04,0.142,
2000-05,0.139,
2000-06,0.135,
2000-07,0.119,
2000-08,0.120,
2000-09,0.124,
2000-10,0.119,
2000-11,0.109,
2000-12,0.115,
2001-01,0.120,
2001-02,0.120,
2001-03,0.131,
2001-04,0.131,
2001-05,0.142,
2001-06,0.143,
2001-07,0.144,
2001-08,0.141,
2001-09,0.142,
2001-10,0.155,
2001-11,0.142,
2001-12,0.156,
2002-01,0.152,
2002-02,0.148,
2002-03,0.140,
2002-04,0.134,
2002-05,0.150,
2002-06,0.135,
2002-07,0.136,
2002-08,0.132,
2002-09,0.136,
2002-10,0.130,
2002-11,0.113,
2002-12,0.111,
2003-01,0.114,
2003-02,0.126,
2003-03,0.114,
2003-04,0.112,
2003-05,0.110,
2003-06,0.107,
2003-07,0.114,
2003-08,0.118,
2003-09,0.115,
2003-10,0.116,
2003-11,0.127,
2003-12,0.113,
2004-01,0.113,
2004-02,0.131,
2004-03,0.105,
2004-04,0.107,
2004-05,0.113,
2004-06,0.108,
2004-07,0.107,
2004-08,0.108,
2004-09,0.102,
2004-10,0.102,
2004-11,0.098,
2004-12,0.093,
2005-01,0.101,
2005-02,0.103,
2005-03,0.103,
2005-04,0.103,
2005-05,0.105,
2005-06,0.119,
2005-07,0.120,
2005-08,0.149,
2005-09,0.156,
2005-10,0.157,
2005-11,0.158,
2005-12,0.188,
2006-01,0.182,
2006-02,0.175,
2006-03,0.214,
2006-04,0.221,
2006-05,0.216,
2006-06,0.211,
2006-07,0.209,
2006-08,0.209,
2006-09,0.212,
2006-10,0.215,
2006-11,0.217,
2006-12,0.215,
2007-01,0.219,
2007-02,0.221,
2007-03,0.223,
2007-04,0.224,
2007-05,0.224,
2007-06,0.229,
2007-07,0.204,
2007-08,0.200,
2007-09,0.216,
2007-10,0.214,
2007-11,0.218,
2007-12,0.204,
2008-01,0.241,
2008-02,0.226,
2008-03,0.227,
2008-04,0.223,
2008-05,0.231,
2008-06,0.222,
2008-07,0.231,
2008-08,0.229,
2008-09,0.248,
2008-10,0.269,
2008-11,0.264,
2008-12,0.301,
2009-01,0.305,
2009-02,0.312,
2009-03,0.314,
2009-04,0.283,
2009-05,0.310,
2009-06,0.315,
2009-07,0.306,
2009-08,0.332,
2009-09,0.341,
2009-10,0.335,
2009-11,0.330,
2009-12,0.327,
2010-01,0.344,
2010-02,0.320,
2010-03,0.299,
2010-04,0.286,
2010-05,0.286,
2010-06,0.288,
2010-07,0.356,
2010-08,0.357,
2010-09,0.355,
2010-10,0.367,
2010-11,0.377,
2010-12,0.389,
2011-01,0.395,
2011-02,0.398,
2011-03,0.341,
2011-04,0.346,
2011-05,0.343,
2011-06,0.344,
2011-07,0.330,
2011-08,0.330,
2011-09,0.314,
2011-10,0.316,
2011-11,0.322,
2011-12,0.459,
2012-01,0.445,
2012-02,0.439,
2012-03,0.426,
2012-04,0.445,
2012-05,0.443,
2012-06,0.451,
2012-07,0.462,
2012-08,0.461,
2012-09,0.463,
2012-10,0.460,
2012-11,0.536,
2012-12,0.528,
2013-01,0.530,
2013-02,0.514,
2013-03,0.544,
2013-04,0.541,
2013-05,0.561,
2013-06,0.561,
2013-07,0.594,
2013-08,0.596,
2013-09,0.631,
2013-10,0.633,
2013-11,0.634,
2013-12,0.513,
2014-01,0.519,
2014-02,0.852,
2014-03,0.915,
2014-04,0.914,
2014-05,0.919,
2014-06,0.924,
2014-07,0.931,
2014-08,0.937,
2014-09,0.935,
2014-10,0.940,
2014-11,0.925,
2014-12,0.744,
