"",BBK01.CEF20K,BBK01.CEF20K_FLAGS
"",Currency and deposits  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:07,
1999-01,282.7,
1999-04,284.2,
1999-07,291.5,
1999-10,300.9,
2000-01,310.8,
2000-04,312.2,
2000-07,311.7,
2000-10,317.1,
2001-01,321.3,
2001-04,324.4,
2001-07,328.1,
2001-10,332.2,
2002-01,334.4,
2002-04,335.0,
2002-07,339.2,
2002-10,343.5,
2003-01,353.4,
2003-04,353.8,
2003-07,355.9,
2003-10,349.4,
2004-01,361.4,
2004-04,364.5,
2004-07,373.5,
2004-10,373.7,
2005-01,388.3,
2005-04,387.6,
2005-07,387.7,
2005-10,382.9,
2006-01,392.4,
2006-04,399.9,
2006-07,406.8,
2006-10,409.7,
2007-01,420.0,
2007-04,430.6,
2007-07,432.0,
2007-10,437.5,
2008-01,447.6,
2008-04,447.4,
2008-07,444.4,
2008-10,441.5,
2009-01,454.8,
2009-04,451.3,
2009-07,452.8,
2009-10,448.0,
2010-01,451.0,
2010-04,445.6,
2010-07,441.7,
2010-10,431.6,
2011-01,439.6,
2011-04,441.8,
2011-07,444.4,
2011-10,437.9,
2012-01,441.0,
2012-04,438.8,
2012-07,438.6,
2012-10,427.2,
2013-01,431.5,
2013-04,427.2,
2013-07,422.6,
2013-10,416.8,
2014-01,418.8,
2014-04,415.9,
2014-07,409.6,
