"",BBNZ1.Q.DE.S.H.0016.A,BBNZ1.Q.DE.S.H.0016.A_FLAGS
"",Germany / National accounts / Labour productivity per hour worked by persons in employment / Whole economy / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:09,
1991-01,74.30,
1991-04,74.47,
1991-07,74.91,
1991-10,75.66,
1992-01,76.66,
1992-04,76.24,
1992-07,76.87,
1992-10,77.14,
1993-01,77.68,
1993-04,77.75,
1993-07,78.67,
1993-10,78.46,
1994-01,79.65,
1994-04,79.89,
1994-07,80.36,
1994-10,81.18,
1995-01,81.09,
1995-04,82.07,
1995-07,81.98,
1995-10,81.94,
1996-01,82.21,
1996-04,82.91,
1996-07,83.47,
1996-10,84.80,
1997-01,85.27,
1997-04,84.90,
1997-07,85.50,
1997-10,86.48,
1998-01,87.27,
1998-04,86.53,
1998-07,86.35,
1998-10,85.92,
1999-01,87.38,
1999-04,87.12,
1999-07,88.08,
1999-10,88.19,
2000-01,89.00,
2000-04,90.20,
2000-07,90.03,
2000-10,90.52,
2001-01,91.96,
2001-04,92.26,
2001-07,92.19,
2001-10,93.02,
2002-01,93.01,
2002-04,92.76,
2002-07,93.79,
2002-10,94.43,
2003-01,93.53,
2003-04,93.96,
2003-07,94.33,
2003-10,95.17,
2004-01,95.02,
2004-04,95.55,
2004-07,95.48,
2004-10,94.75,
2005-01,97.08,
2005-04,95.85,
2005-07,96.95,
2005-10,96.71,
2006-01,97.41,
2006-04,98.38,
2006-07,98.73,
2006-10,99.45,
2007-01,99.29,
2007-04,99.60,
2007-07,100.39,
2007-10,100.75,
2008-01,100.99,
2008-04,99.68,
2008-07,100.51,
2008-10,99.48,
2009-01,96.14,
2009-04,97.45,
2009-07,97.98,
2009-10,98.72,
2010-01,99.59,
2010-04,100.06,
2010-07,100.58,
2010-10,99.76,
2011-01,101.77,
2011-04,101.89,
2011-07,102.19,
2011-10,102.09,
2012-01,102.00,
2012-04,102.98,
2012-07,102.75,
2012-10,102.81,
2013-01,102.91,
2013-04,102.77,
2013-07,102.74,
2013-10,103.61,
2014-01,102.96,
2014-04,103.10,
2014-07,102.90,
2014-10,103.52,
