"",BBK01.CELM20,BBK01.CELM20_FLAGS
"",Currency                                                           debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:52,
1999-01,-2.7,
1999-04,1.1,
1999-07,1.0,
1999-10,10.3,
2000-01,-9.0,
2000-04,0.5,
2000-07,-0.2,
2000-10,2.7,
2001-01,-8.8,
2001-04,-3.6,
2001-07,-10.3,
2001-10,-36.6,
2002-01,-9.5,
2002-04,8.2,
2002-07,5.4,
2002-10,12.8,
2003-01,-1.6,
2003-04,7.0,
2003-07,4.1,
2003-10,12.1,
2004-01,-6.4,
2004-04,7.3,
2004-07,4.2,
2004-10,9.9,
2005-01,-0.3,
2005-04,6.5,
2005-07,2.5,
2005-10,8.7,
2006-01,-2.2,
2006-04,6.3,
2006-07,2.5,
2006-10,10.6,
2007-01,-4.2,
2007-04,5.3,
2007-07,1.1,
2007-10,10.7,
2008-01,-4.8,
2008-04,4.9,
2008-07,1.4,
2008-10,21.4,
2009-01,-20.1,
2009-04,4.2,
2009-07,0.9,
2009-10,9.8,
2010-01,-2.3,
2010-04,3.7,
2010-07,0.3,
2010-10,6.6,
2011-01,-4.4,
2011-04,5.7,
2011-07,2.6,
2011-10,7.8,
2012-01,-4.7,
2012-04,5.9,
2012-07,-0.3,
2012-10,5.0,
2013-01,-4.1,
2013-04,3.8,
2013-07,1.0,
2013-10,9.3,
2014-01,-15.0,
2014-04,4.7,
2014-07,2.8,
