"",BBK01.CELN02,BBK01.CELN02_FLAGS
"",Transferable deposits                                                     debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:39,
1999-01,64.0,
1999-04,-6.8,
1999-07,-12.4,
1999-10,-25.9,
2000-01,35.8,
2000-04,-0.6,
2000-07,-30.4,
2000-10,21.1,
2001-01,39.5,
2001-04,15.9,
2001-07,24.3,
2001-10,-27.3,
2002-01,-26.7,
2002-04,41.8,
2002-07,7.7,
2002-10,1.9,
2003-01,48.8,
2003-04,23.4,
2003-07,-31.4,
2003-10,-33.9,
2004-01,35.7,
2004-04,-13.7,
2004-07,21.1,
2004-10,-72.3,
2005-01,88.4,
2005-04,24.7,
2005-07,-28.9,
2005-10,-58.9,
2006-01,53.2,
2006-04,5.2,
2006-07,-5.4,
2006-10,16.2,
2007-01,42.5,
2007-04,20.6,
2007-07,18.7,
2007-10,-18.5,
2008-01,53.4,
2008-04,-24.6,
2008-07,73.2,
2008-10,64.9,
2009-01,-76.4,
2009-04,44.9,
2009-07,-65.3,
2009-10,-24.7,
2010-01,62.7,
2010-04,116.4,
2010-07,-89.8,
2010-10,0.0,
2011-01,-4.9,
2011-04,1.3,
2011-07,150.5,
2011-10,-61.9,
2012-01,264.7,
2012-04,45.1,
2012-07,-45.0,
2012-10,-127.8,
2013-01,-45.6,
2013-04,-13.9,
2013-07,-35.9,
2013-10,-65.7,
2014-01,7.3,
2014-04,1.6,
2014-07,16.2,
