"",BBAI3.Q.DE.N.V.LE.F2M.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:32,
2005-10,67671,
2006-01,68802,
2006-04,71184,
2006-07,72343,
2006-10,75750,
2007-01,77154,
2007-04,79376,
2007-07,80433,
2007-10,82711,
2008-01,85007,
2008-04,86010,
2008-07,86098,
2008-10,86624,
2009-01,88242,
2009-04,89321,
2009-07,89219,
2009-10,88448,
2010-01,88350,
2010-04,89510,
2010-07,89331,
2010-10,89428,
2011-01,90835,
2011-04,92254,
2011-07,93064,
2011-10,93087,
2012-01,92805,
2012-04,93375,
2012-07,93456,
2012-10,92518,
2013-01,92483,
2013-04,91795,
2013-07,90513,
2013-10,89166,
2014-01,90271,
2014-04,90226,
2014-07,88871,
