"",BBSF2.M.1.T.00000.DAK01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Funds-of-funds: Equity funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:27,
2009-09,3,
2009-10,3,
2009-11,7,
2009-12,9,
2010-01,8,
2010-02,5,
2010-03,5,
2010-04,4,
2010-05,6,
2010-06,5,
2010-07,5,
2010-08,4,
2010-09,4,
2010-10,4,
2010-11,4,
2010-12,4,
2011-01,4,
2011-02,5,
2011-03,5,
2011-04,5,
2011-05,4,
2011-06,4,
2011-07,3,
2011-08,2,
2011-09,3,
2011-10,4,
2011-11,2,
2011-12,3,
2012-01,3,
2012-02,3,
2012-03,3,
2012-04,3,
2012-05,2,
2012-06,2,
2012-07,2,
2012-08,3,
2012-09,4,
2012-10,4,
2012-11,3,
2012-12,3,
2013-01,3,
2013-02,3,
2013-03,3,
2013-04,3,
2013-05,3,
2013-06,3,
2013-07,3,
2013-08,3,
2013-09,3,
2013-10,2,
2013-11,2,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,2,
2014-08,1,
2014-09,1,
2014-10,1,
2014-11,1,
