"",BBAI3.Q.DE.N.V.LE.F612.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F612.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Net equity of households in pension fund reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:21,
2005-10,111617,
2006-01,114240,
2006-04,117456,
2006-07,119354,
2006-10,122817,
2007-01,125512,
2007-04,128556,
2007-07,130944,
2007-10,134334,
2008-01,137054,
2008-04,140027,
2008-07,142339,
2008-10,144058,
2009-01,146877,
2009-04,150193,
2009-07,151989,
2009-10,155062,
2010-01,158269,
2010-04,161748,
2010-07,164347,
2010-10,167289,
2011-01,171218,
2011-04,174829,
2011-07,177335,
2011-10,180103,
2012-01,184302,
2012-04,188049,
2012-07,190518,
2012-10,194108,
2013-01,198562,
2013-04,201931,
2013-07,204090,
2013-10,207933,
2014-01,212043,
2014-04,215684,
2014-07,217592,
