"",BBAI3.Q.DE.N.V.LE.F41.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F41.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Loans up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:36,
2005-10,63477,
2006-01,61663,
2006-04,60186,
2006-07,58526,
2006-10,57120,
2007-01,54144,
2007-04,52021,
2007-07,49923,
2007-10,48014,
2008-01,47357,
2008-04,46628,
2008-07,46040,
2008-10,45304,
2009-01,45019,
2009-04,44520,
2009-07,44050,
2009-10,43561,
2010-01,43851,
2010-04,44027,
2010-07,44336,
2010-10,44558,
2011-01,44848,
2011-04,45010,
2011-07,45256,
2011-10,45165,
2012-01,45749,
2012-04,46469,
2012-07,47067,
2012-10,47599,
2013-01,48464,
2013-04,48874,
2013-07,48694,
2013-10,49283,
2014-01,46844,
2014-04,45962,
2014-07,45895,
