"",BBSF2.M.1.P.00000.GEL01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEL01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,15906,
1994-10,44602,
1994-11,96804,
1994-12,348850,
1995-01,329260,
1995-02,306278,
1995-03,287417,
1995-04,290195,
1995-05,297591,
1995-06,302790,
1995-07,309215,
1995-08,313729,
1995-09,314741,
1995-10,325680,
1995-11,337367,
1995-12,414279,
1996-01,411433,
1996-02,433026,
1996-03,431068,
1996-04,429487,
1996-05,424099,
1996-06,411572,
1996-07,400350,
1996-08,389740,
1996-09,383519,
1996-10,384630,
1996-11,373600,
1996-12,366088,
1997-01,352596,
1997-02,352888,
1997-03,343146,
1997-04,337869,
1997-05,331721,
1997-06,321450,
1997-07,327588,
1997-08,332677,
1997-09,330462,
1997-10,316960,
1997-11,311446,
1997-12,310110,
1998-01,313906,
1998-02,339857,
1998-03,347410,
1998-04,345824,
1998-05,346318,
1998-06,347758,
1998-07,350982,
1998-08,364639,
1998-09,363628,
1998-10,370872,
1998-11,371691,
1998-12,367421,
1999-01,396923,
1999-02,409881,
1999-03,405837,
1999-04,417540,
1999-05,434895,
1999-06,444127,
1999-07,455595,
1999-08,468372,
1999-09,479346,
1999-10,478649,
1999-11,454145,
1999-12,427853,
2000-01,461303,
2000-02,478729,
2000-03,480064,
2000-04,466171,
2000-05,456612,
2000-06,435986,
2000-07,422672,
2000-08,420581,
2000-09,404001,
2000-10,395714,
2000-11,391951,
2000-12,379622,
2001-01,393725,
2001-02,410306,
2001-03,429616,
2001-04,439802,
2001-05,439085,
2001-06,453150,
2001-07,465311,
2001-08,491531,
2001-09,518598,
2001-10,545886,
2001-11,568052,
2001-12,607945,
2002-01,634362,
2002-02,648100,
2002-03,646795,
2002-04,646634,
2002-05,651805,
2002-06,640263,
2002-07,646476,
2002-08,665608,
2002-09,668385,
2002-10,678672,
2002-11,675593,
2002-12,663639,
2003-01,696242,
2003-02,709182,
2003-03,717051,
2003-04,706156,
2003-05,705731,
2003-06,693180,
2003-07,684728,
2003-08,678959,
2003-09,677193,
2003-10,661092,
2003-11,655484,
2003-12,649337,
2004-01,641883,
2004-02,632446,
2004-03,623427,
2004-04,622491,
2004-05,620806,
2004-06,616504,
2004-07,692293,
2004-08,714263,
2004-09,669894,
2004-10,639534,
2004-11,609512,
2004-12,545925,
2005-01,539747,
2005-02,544401,
2005-03,577999,
2005-04,599153,
2005-05,590725,
2005-06,593340,
2005-07,616538,
2005-08,619619,
2005-09,613847,
2005-10,555549,
2005-11,538306,
2005-12,545794,
2006-01,535313,
2006-02,545523,
2006-03,544416,
2006-04,541058,
2006-05,554041,
2006-06,568578,
2006-07,555816,
2006-08,553569,
2006-09,548209,
2006-10,556456,
2006-11,556014,
2006-12,557565,
2007-01,560163,
2007-02,554476,
2007-03,570672,
2007-04,563089,
2007-05,570166,
2007-06,597395,
2007-07,588951,
2007-08,547417,
2007-09,512522,
2007-10,492507,
2007-11,493249,
2007-12,484303,
2008-01,494198,
2008-02,496633,
2008-03,464230,
2008-04,425144,
2008-05,407005,
2008-06,392707,
2008-07,382180,
2008-08,376494,
2008-09,363858,
2008-10,296749,
2008-11,280531,
2008-12,264275,
2009-01,256661,
2009-02,248538,
2009-03,239789,
2009-04,235954,
2009-05,229303,
2009-06,220167,
2009-07,195305,
2009-08,191152,
2009-09,188691,
2009-10,184637,
2009-11,179578,
2009-12,168990,
2010-01,178262,
2010-02,176268,
2010-03,166320,
2010-04,160307,
2010-05,162018,
2010-06,156846,
2010-07,154811,
2010-08,152858,
2010-09,152222,
2010-10,150011,
2010-11,155951,
2010-12,157837,
2011-01,159598,
2011-02,159152,
2011-03,158639,
2011-04,152889,
2011-05,148795,
2011-06,146228,
2011-07,99101,
2011-08,103295,
2011-09,104946,
2011-10,104972,
2011-11,90289,
2011-12,79590,
2012-01,73462,
2012-02,71284,
2012-03,68939,
2012-04,67959,
2012-05,67608,
2012-06,69219,
2012-07,67448,
2012-08,66526,
2012-09,64446,
2012-10,64237,
2012-11,62619,
2012-12,61146,
2013-01,58836,
2013-02,57372,
2013-03,56053,
2013-04,54514,
2013-05,53384,
2013-06,56811,
2013-07,56860,
2013-08,56641,
2013-09,55447,
2013-10,53772,
2013-11,52278,
2013-12,52626,
2014-01,51984,
2014-02,50797,
2014-03,49796,
2014-04,50309,
2014-05,49719,
2014-06,48805,
2014-07,48917,
2014-08,45151,
2014-09,45206,
2014-10,44851,
2014-11,44063,
