"",BBAI3.Q.DE.N.V.LE.F612.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F612.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Net equity of households in pension fund reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:08,
2005-10,123568,
2006-01,126537,
2006-04,129702,
2006-07,131759,
2006-10,135484,
2007-01,138602,
2007-04,141599,
2007-07,144075,
2007-10,147726,
2008-01,150834,
2008-04,153798,
2008-07,156161,
2008-10,157968,
2009-01,161140,
2009-04,164240,
2009-07,165895,
2009-10,169306,
2010-01,173004,
2010-04,176321,
2010-07,178700,
2010-10,181981,
2011-01,186293,
2011-04,189826,
2011-07,192293,
2011-10,195289,
2012-01,199845,
2012-04,203529,
2012-07,205953,
2012-10,209794,
2013-01,214712,
2013-04,217919,
2013-07,219922,
2013-10,223888,
2014-01,228769,
2014-04,232246,
2014-07,234047,
