"",BBK01.OXA8A6,BBK01.OXA8A6_FLAGS
"",Loans (including bills of exchange) to domestic Other financial intermediaries - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:41,
1999-01,27.193,
1999-02,28.132,
1999-03,29.169,
1999-04,31.186,
1999-05,32.216,
1999-06,31.207,
1999-07,30.894,
1999-08,30.243,
1999-09,20.933,
1999-10,21.474,
1999-11,20.790,
1999-12,16.641,
2000-01,17.400,
2000-02,17.859,
2000-03,20.993,
2000-04,21.793,
2000-05,29.014,
2000-06,25.523,
2000-07,27.093,
2000-08,25.869,
2000-09,27.494,
2000-10,28.105,
2000-11,27.679,
2000-12,22.675,
2001-01,28.527,
2001-02,35.019,
2001-03,31.429,
2001-04,33.758,
2001-05,31.799,
2001-06,25.445,
2001-07,25.151,
2001-08,25.414,
2001-09,25.321,
2001-10,26.381,
2001-11,26.638,
2001-12,25.590,
2002-01,23.005,
2002-02,24.626,
2002-03,25.947,
2002-04,28.735,
2002-05,30.097,
2002-06,24.010,
2002-07,24.194,
2002-08,24.703,
2002-09,29.106,
2002-10,28.916,
2002-11,26.895,
2002-12,25.818,
2003-01,28.852,
2003-02,33.059,
2003-03,36.206,
2003-04,36.360,
2003-05,35.606,
2003-06,34.537,
2003-07,31.593,
2003-08,29.969,
2003-09,39.686,
2003-10,39.544,
2003-11,42.881,
2003-12,39.841,
2004-01,39.341,
2004-02,42.306,
2004-03,42.772,
2004-04,45.015,
2004-05,44.378,
2004-06,39.427,
2004-07,40.559,
2004-08,35.793,
2004-09,42.392,
2004-10,42.614,
2004-11,51.165,
2004-12,46.693,
2005-01,47.922,
2005-02,54.788,
2005-03,55.198,
2005-04,56.889,
2005-05,57.787,
2005-06,57.635,
2005-07,61.111,
2005-08,62.860,
2005-09,66.901,
2005-10,75.806,
2005-11,73.681,
2005-12,61.649,
2006-01,72.266,
2006-02,79.105,
2006-03,84.886,
2006-04,88.052,
2006-05,87.928,
2006-06,81.602,
2006-07,76.857,
2006-08,80.164,
2006-09,91.583,
2006-10,86.683,
2006-11,81.505,
2006-12,63.940,
2007-01,78.394,
2007-02,82.649,
2007-03,87.843,
2007-04,86.464,
2007-05,81.651,
2007-06,85.374,
2007-07,88.927,
2007-08,89.249,
2007-09,91.471,
2007-10,95.304,
2007-11,90.678,
2007-12,85.112,
2008-01,98.746,
2008-02,102.499,
2008-03,107.522,
2008-04,111.801,
2008-05,112.363,
2008-06,111.622,
2008-07,120.634,
2008-08,116.724,
2008-09,120.812,
2008-10,114.907,
2008-11,117.788,
2008-12,110.790,
2009-01,131.232,
2009-02,125.942,
2009-03,145.252,
2009-04,150.118,
2009-05,150.238,
2009-06,157.970,
2009-07,147.717,
2009-08,136.723,
2009-09,150.278,
2009-10,147.160,
2009-11,152.639,
2009-12,148.864,
2010-01,148.670,
2010-02,145.957,
2010-03,147.836,
2010-04,162.544,
2010-05,158.644,
2010-06,157.768,
2010-07,159.740,
2010-08,166.416,
2010-09,147.676,
2010-10,154.595,
2010-11,174.900,
2010-12,144.426,
2011-01,152.694,
2011-02,167.355,
2011-03,149.570,
2011-04,155.880,
2011-05,165.888,
2011-06,161.943,
2011-07,164.491,
2011-08,181.378,
2011-09,184.495,
2011-10,216.575,
2011-11,213.585,
2011-12,184.445,
2012-01,205.008,
2012-02,202.180,
2012-03,191.216,
2012-04,192.824,
2012-05,188.047,
2012-06,183.714,
2012-07,213.794,
2012-08,210.875,
2012-09,201.765,
2012-10,216.874,
2012-11,204.390,
2012-12,183.288,
2013-01,207.698,
2013-02,205.997,
2013-03,196.562,
2013-04,195.541,
2013-05,197.727,
2013-06,208.247,
2013-07,194.337,
2013-08,92.841,
2013-09,93.274,
2013-10,92.843,
2013-11,92.132,
2013-12,93.073,
2014-01,92.882,
2014-02,93.364,
2014-03,94.902,
2014-04,94.600,
2014-05,95.185,
2014-06,92.846,
2014-07,94.029,
2014-08,94.054,
2014-09,96.945,
2014-10,95.238,
2014-11,97.846,
2014-12,113.678,Provisional value
