"",BBAI3.Q.DE.N.V.LE.F52.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:29,
2005-10,186272,
2006-01,192616,
2006-04,189888,
2006-07,196842,
2006-10,201361,
2007-01,204661,
2007-04,210510,
2007-07,212736,
2007-10,215791,
2008-01,204595,
2008-04,200120,
2008-07,199826,
2008-10,191677,
2009-01,191380,
2009-04,199552,
2009-07,214318,
2009-10,220224,
2010-01,231837,
2010-04,238390,
2010-07,249956,
2010-10,251701,
2011-01,253831,
2011-04,252796,
2011-07,251246,
2011-10,252220,
2012-01,266302,
2012-04,272525,
2012-07,287053,
2012-10,298854,
2013-01,308799,
2013-04,310511,
2013-07,319297,
2013-10,328716,
2014-01,350067,
2014-04,364863,
2014-07,378300,
