"",BBEX3.M.INR.EUR.CA.AC.A01,BBEX3.M.INR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in India / EUR 1 = INR ... (middle),
unit,INR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:00,
1999-01,48.605,
1999-02,46.740,
1999-03,45.455,
1999-04,45.505,
1999-05,44.880,
1999-06,44.785,
1999-07,46.390,
1999-08,45.655,
1999-09,46.015,
1999-10,45.715,
1999-11,43.900,
1999-12,43.840,
2000-01,42.785,
2000-02,42.415,
2000-03,41.845,
2000-04,39.795,
2000-05,41.495,
2000-06,42.550,
2000-07,41.470,
2000-08,40.985,
2000-09,40.595,
2000-10,39.300,
2000-11,40.265,
2000-12,43.470,
2001-01,43.005,
2001-02,42.795,
2001-03,40.970,
2001-04,41.770,
2001-05,40.255,
2001-06,39.790,
2001-07,41.305,
2001-08,43.305,
2001-09,43.820,
2001-10,43.580,
2001-11,42.555,
2001-12,42.705,
2002-01,41.885,
2002-02,42.180,
2002-03,42.550,
2002-04,44.315,
2002-05,45.955,
2002-06,48.340,
2002-07,47.960,
2002-08,47.800,
2002-09,47.300,
2002-10,47.820,
2002-11,47.990,
2002-12,50.040,
2003-01,51.735,
2003-02,51.245,
2003-03,51.450,
2003-04,52.650,
2003-05,55.825,
2003-06,53.070,
2003-07,52.335,
2003-08,49.855,
2003-09,52.455,
2003-10,52.685,
2003-11,54.725,
2003-12,57.295,
2004-01,56.230,
2004-02,56.335,
2004-03,53.885,
2004-04,53.075,
2004-05,55.650,
2004-06,55.685,
2004-07,55.985,
2004-08,56.040,
2004-09,56.930,
2004-10,58.040,
2004-11,59.340,
2004-12,59.450,
2005-01,57.030,
2005-02,58.005,
2005-03,56.610,
2005-04,56.480,
2005-05,54.180,
2005-06,52.685,
2005-07,52.775,
2005-08,53.850,
2005-09,53.020,
2005-10,54.430,
2005-11,54.120,
2005-12,53.595,
2006-01,53.350,
2006-02,52.850,
2006-03,54.315,
2006-04,56.380,
2006-05,59.850,
2006-06,58.590,
2006-07,59.460,
2006-08,59.735,
2006-09,58.375,
2006-10,57.270,
2006-11,58.965,
2006-12,58.075,
2007-01,57.195,
2007-02,58.660,
2007-03,58.030,
2007-04,56.395,
2007-05,54.755,
2007-06,54.805,
2007-07,55.510,
2007-08,56.145,
2007-09,56.410,
2007-10,56.815,
2007-11,58.565,
2007-12,58.140,
2008-01,58.590,
2008-02,60.570,
2008-03,62.905,
2008-04,62.950,
2008-05,66.085,
2008-06,67.655,
2008-07,66.245,
2008-08,64.455,
2008-09,68.015,
2008-10,62.635,
2008-11,64.270,
2008-12,68.450,
2009-01,63.235,
2009-02,64.350,
2009-03,66.265,
2009-04,66.205,
2009-05,66.465,
2009-06,67.550,
2009-07,68.165,
2009-08,69.790,
2009-09,70.225,
2009-10,69.655,
2009-11,69.850,
2009-12,67.085,
2010-01,64.655,
2010-02,62.875,
2010-03,60.470,
2010-04,58.905,
2010-05,57.235,
2010-06,57.030,
2010-07,60.640,
2010-08,59.480,
2010-09,60.950,
2010-10,61.895,
2010-11,60.230,
2010-12,59.620,
2011-01,62.475,
2011-02,62.285,
2011-03,63.175,
2011-04,65.875,
2011-05,64.670,
2011-06,64.945,
2011-07,63.160,
2011-08,66.640,
2011-09,66.495,
2011-10,68.315,
2011-11,69.385,
2011-12,68.960,
2012-01,65.345,
2012-02,65.850,
2012-03,68.245,
2012-04,69.525,
2012-05,69.765,
2012-06,70.635,
2012-07,68.030,
2012-08,69.660,
2012-09,68.145,
2012-10,69.960,
2012-11,70.685,
2012-12,72.340,
2013-01,72.005,
2013-02,70.970,
2013-03,69.485,
2013-04,70.925,
2013-05,73.520,
2013-06,78.220,
2013-07,80.855,
2013-08,87.620,
2013-09,84.340,
2013-10,84.150,
2013-11,84.915,
2013-12,85.195,
2014-01,84.850,
2014-02,85.080,
2014-03,82.585,
2014-04,83.240,
2014-05,80.205,
2014-06,81.995,
2014-07,80.695,
2014-08,79.735,
2014-09,78.195,
2014-10,77.395,
2014-11,77.095,
2014-12,77.005,
2015-01,70.025,
"","Source: Calculated on the basis of the buying and selling rates of the State Bank of India, Frankfurt am Main.",
