"",BBK01.CE3K0B,BBK01.CE3K0B_FLAGS
"",Net financial assets debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:52,
1991-01,-145.2,
1991-04,-147.9,
1991-07,-147.3,
1991-10,-102.8,
1992-01,-153.2,
1992-04,-164.2,
1992-07,-140.9,
1992-10,-93.6,
1993-01,-151.2,
1993-04,-169.9,
1993-07,-168.1,
1993-10,-108.9,
1994-01,-93.6,
1994-04,-112.1,
1994-07,-110.0,
1994-10,-122.0,
1995-01,-125.9,
1995-04,-129.8,
1995-07,-131.3,
1995-10,-121.0,
1996-01,-120.8,
1996-04,-125.4,
1996-07,-130.7,
1996-10,-115.7,
1997-01,-128.6,
1997-04,-136.7,
1997-07,-156.6,
1997-10,-147.4,
1998-01,-169.4,
1998-04,-176.4,
1998-07,-162.6,
1998-10,-168.7,
1999-01,-206.5,
1999-04,-184.8,
1999-07,-180.2,
1999-10,-216.5,
2000-01,-268.8,
2000-04,-203.0,
2000-07,-244.5,
2000-10,-216.9,
2001-01,-255.2,
2001-04,-259.2,
2001-07,-186.8,
2001-10,-189.1,
2002-01,-212.1,
2002-04,-213.2,
2002-07,-127.0,
2002-10,-76.4,
2003-01,-87.8,
2003-04,-104.3,
2003-07,-106.8,
2003-10,-83.4,
2004-01,-69.6,
2004-04,-72.6,
2004-07,-64.5,
2004-10,-66.6,
2005-01,-53.8,
2005-04,-38.6,
2005-07,-45.5,
2005-10,-60.6,
2006-01,-71.8,
2006-04,-59.6,
2006-07,-73.0,
2006-10,-89.3,
2007-01,-97.7,
2007-04,-91.2,
2007-07,-81.3,
2007-10,-84.9,
2008-01,-81.8,
2008-04,-79.4,
2008-07,-66.8,
2008-10,-52.1,
2009-01,-29.8,
2009-04,-27.8,
2009-07,-50.9,
2009-10,-44.6,
2010-01,-31.7,
2010-04,-26.8,
2010-07,-18.9,
2010-10,-27.4,
2011-01,-20.1,
2011-04,0.5,
2011-07,7.5,
2011-10,-2.2,
2012-01,16.4,
2012-04,16.6,
2012-07,29.3,
2012-10,27.4,
2013-01,26.3,
2013-04,4.1,
2013-07,14.5,
2013-10,-8.7,
2014-01,26.6,
