"",BBAI3.Q.DE.N.V.LE.F331.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:59,
2005-10,0,
2006-01,0,
2006-04,50,
2006-07,306,
2006-10,807,
2007-01,1696,
2007-04,1310,
2007-07,1748,
2007-10,2284,
2008-01,2402,
2008-04,2733,
2008-07,3655,
2008-10,2815,
2009-01,2158,
2009-04,1823,
2009-07,1652,
2009-10,1332,
2010-01,1523,
2010-04,2026,
2010-07,1973,
2010-10,1891,
2011-01,1290,
2011-04,1191,
2011-07,1240,
2011-10,763,
2012-01,951,
2012-04,1023,
2012-07,1436,
2012-10,1401,
2013-01,1270,
2013-04,869,
2013-07,835,
2013-10,597,
2014-01,624,
2014-04,641,
2014-07,689,
