"",BBAI3.Q.DE.N.V.LE.F33.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:41,
2005-10,13565,
2006-01,14232,
2006-04,14307,
2006-07,13164,
2006-10,12504,
2007-01,15558,
2007-04,14210,
2007-07,13523,
2007-10,12484,
2008-01,14075,
2008-04,13525,
2008-07,13015,
2008-10,12975,
2009-01,14347,
2009-04,15378,
2009-07,15846,
2009-10,15803,
2010-01,18604,
2010-04,18460,
2010-07,17187,
2010-10,16535,
2011-01,18268,
2011-04,17740,
2011-07,17492,
2011-10,21261,
2012-01,26739,
2012-04,26046,
2012-07,26190,
2012-10,26979,
2013-01,33448,
2013-04,31007,
2013-07,29541,
2013-10,30683,
2014-01,38672,
2014-04,37605,
2014-07,36894,
