"",BBK01.CEL60J,BBK01.CEL60J_FLAGS
"","Insurance, pension and standardised guarantees                            debtor: Total            creditor: Households",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:52,
1999-01,19.8,
1999-04,13.1,
1999-07,15.1,
1999-10,19.4,
2000-01,23.5,
2000-04,15.5,
2000-07,16.8,
2000-10,16.4,
2001-01,21.8,
2001-04,13.4,
2001-07,16.8,
2001-10,9.4,
2002-01,22.8,
2002-04,13.1,
2002-07,15.2,
2002-10,-6.6,
2003-01,18.6,
2003-04,12.7,
2003-07,13.1,
2003-10,10.9,
2004-01,16.6,
2004-04,11.2,
2004-07,11.8,
2004-10,17.6,
2005-01,16.8,
2005-04,11.5,
2005-07,12.6,
2005-10,27.8,
2006-01,21.6,
2006-04,18.0,
2006-07,20.1,
2006-10,18.6,
2007-01,16.7,
2007-04,14.5,
2007-07,16.5,
2007-10,28.1,
2008-01,8.2,
2008-04,7.2,
2008-07,8.0,
2008-10,9.1,
2009-01,22.0,
2009-04,14.0,
2009-07,12.6,
2009-10,18.1,
2010-01,27.9,
2010-04,19.2,
2010-07,13.4,
2010-10,17.3,
2011-01,19.4,
2011-04,13.1,
2011-07,10.7,
2011-10,13.0,
2012-01,26.1,
2012-04,18.3,
2012-07,14.6,
2012-10,17.9,
2013-01,26.7,
2013-04,18.9,
2013-07,14.5,
2013-10,18.1,
2014-01,26.5,
2014-04,16.9,
2014-07,13.1,
