"",BBFN1.M.DE.N.1.A.IE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1987-04,0.041,
1987-05,0.043,
1987-06,0.050,
1987-07,0.058,
1987-08,0.048,
1987-09,0.053,
1987-10,0.052,
1987-11,0.061,
1987-12,0.054,
1988-01,0.044,
1988-02,0.040,
1988-03,0.057,
1988-04,0.048,
1988-05,0.039,
1988-06,0.048,
1988-07,0.043,
1988-08,0.041,
1988-09,0.076,
1988-10,0.053,
1988-11,0.046,
1988-12,0.050,
1989-01,0.054,
1989-02,0.057,
1989-03,0.062,
1989-04,0.062,
1989-05,0.062,
1989-06,0.072,
1989-07,0.072,
1989-08,0.062,
1989-09,0.092,
1989-10,0.062,
1989-11,0.064,
1989-12,0.062,
1990-01,0.070,
1990-02,0.050,
1990-03,0.057,
1990-04,0.055,
1990-05,0.067,
1990-06,0.065,
1990-07,0.068,
1990-08,0.648,
1990-09,0.657,
1990-10,0.653,
1990-11,0.650,
1990-12,0.648,
1991-01,0.652,
1991-02,0.654,
1991-03,0.668,
1991-04,0.664,
1991-05,0.679,
1991-06,0.685,
1991-07,0.698,
1991-08,0.695,
1991-09,0.692,
1991-10,0.696,
1991-11,0.698,
1991-12,0.104,
1992-01,0.155,
1992-02,0.172,
1992-03,0.202,
1992-04,0.217,
1992-05,0.222,
1992-06,0.197,
1992-07,0.214,
1992-08,0.310,
1992-09,0.218,
1992-10,0.314,
1992-11,0.347,
1992-12,0.299,
1993-01,0.477,
1993-02,0.568,
1993-03,0.570,
1993-04,0.585,
1993-05,0.590,
1993-06,0.581,
1993-07,0.590,
1993-08,0.628,
1993-09,0.712,
1993-10,0.742,
1993-11,0.682,
1993-12,0.870,
1994-01,1.094,
1994-02,1.770,
1994-03,1.362,
1994-04,1.814,
1994-05,1.699,
1994-06,1.723,
1994-07,1.883,
1994-08,2.298,
1994-09,2.294,
1994-10,2.611,
1994-11,2.637,
1994-12,2.628,
1995-01,2.869,
1995-02,3.341,
1995-03,3.607,
1995-04,3.666,
1995-05,3.853,
1995-06,3.643,
1995-07,3.861,
1995-08,3.724,
1995-09,3.782,
1995-10,4.060,
1995-11,3.964,
1995-12,3.683,
1996-01,3.561,
1996-02,3.750,
1996-03,3.817,
1996-04,3.904,
1996-05,3.876,
1996-06,3.378,
1996-07,3.544,
1996-08,3.533,
1996-09,3.525,
1996-10,3.485,
1996-11,3.415,
1996-12,3.447,
1997-01,3.461,
1997-02,3.570,
1997-03,3.716,
1997-04,3.856,
1997-05,3.775,
1997-06,3.970,
1997-07,4.253,
1997-08,4.402,
1997-09,4.520,
1997-10,4.647,
1997-11,4.495,
1997-12,4.049,
1998-01,4.830,
1998-02,5.043,
1998-03,4.926,
1998-04,4.681,
1998-05,4.480,
1998-06,4.746,
1998-07,5.067,
1998-08,4.864,
1998-09,4.553,
1998-10,5.056,
1998-11,4.771,
1998-12,4.053,
1999-01,4.865,
1999-02,5.099,
1999-03,4.946,
1999-04,5.093,
1999-05,5.170,
1999-06,4.029,
1999-07,4.723,
1999-08,4.715,
1999-09,4.247,
1999-10,5.089,
1999-11,4.939,
1999-12,4.450,
2000-01,4.956,
2000-02,4.655,
2000-03,3.299,
2000-04,3.426,
2000-05,3.236,
2000-06,3.025,
2000-07,3.238,
2000-08,3.337,
2000-09,3.128,
2000-10,3.734,
2000-11,4.068,
2000-12,2.878,
2001-01,4.521,
2001-02,4.240,
2001-03,4.069,
2001-04,4.212,
2001-05,4.167,
2001-06,4.201,
2001-07,4.980,
2001-08,5.010,
2001-09,5.152,
2001-10,5.457,
2001-11,5.532,
2001-12,5.179,
2002-01,5.581,
2002-02,5.883,
2002-03,5.683,
2002-04,5.783,
2002-05,5.976,
2002-06,5.712,
2002-07,6.329,
2002-08,6.949,
2002-09,6.604,
2002-10,7.265,
2002-11,5.806,
2002-12,5.767,
2003-01,6.717,
2003-02,7.246,
2003-03,6.813,
2003-04,7.160,
2003-05,6.938,
2003-06,6.604,
2003-07,7.122,
2003-08,7.001,
2003-09,7.167,
2003-10,7.607,
2003-11,7.585,
2003-12,6.735,
2004-01,8.093,
2004-02,8.074,
2004-03,9.288,
2004-04,8.821,
2004-05,8.097,
2004-06,8.635,
2004-07,8.805,
2004-08,8.681,
2004-09,8.864,
2004-10,8.621,
2004-11,8.281,
2004-12,8.046,
2005-01,9.059,
2005-02,9.157,
2005-03,9.931,
2005-04,9.802,
2005-05,9.600,
2005-06,11.214,
2005-07,11.288,
2005-08,11.732,
2005-09,11.789,
2005-10,11.916,
2005-11,11.536,
2005-12,10.043,
2006-01,10.823,
2006-02,10.838,
2006-03,10.809,
2006-04,10.513,
2006-05,10.072,
2006-06,10.610,
2006-07,10.581,
2006-08,10.846,
2006-09,10.824,
2006-10,11.014,
2006-11,8.633,
2006-12,8.763,
2007-01,10.237,
2007-02,9.490,
2007-03,9.704,
2007-04,10.071,
2007-05,10.575,
2007-06,10.305,
2007-07,10.415,
2007-08,10.213,
2007-09,10.239,
2007-10,10.709,
2007-11,10.288,
2007-12,8.632,
2008-01,10.386,
2008-02,9.736,
2008-03,10.582,
2008-04,9.807,
2008-05,9.993,
2008-06,11.337,
2008-07,11.399,
2008-08,10.882,
2008-09,9.748,
2008-10,9.567,
2008-11,9.268,
2008-12,10.511,
2009-01,9.490,
2009-02,9.542,
2009-03,9.695,
2009-04,10.893,
2009-05,10.517,
2009-06,8.753,
2009-07,9.028,
2009-08,9.154,
2009-09,9.237,
2009-10,9.287,
2009-11,8.802,
2009-12,8.323,
2010-01,10.475,
2010-02,10.868,
2010-03,9.542,
2010-04,10.356,
2010-05,11.375,
2010-06,8.105,
2010-07,12.049,
2010-08,12.616,
2010-09,9.966,
2010-10,9.220,
2010-11,9.667,
2010-12,7.736,
2011-01,9.673,
2011-02,8.898,
2011-03,8.365,
2011-04,8.137,
2011-05,9.208,
2011-06,8.737,
2011-07,9.906,
2011-08,8.926,
2011-09,9.174,
2011-10,10.045,
2011-11,9.662,
2011-12,8.992,
2012-01,16.289,
2012-02,16.164,
2012-03,18.204,
2012-04,20.950,
2012-05,23.746,
2012-06,22.164,
2012-07,23.332,
2012-08,23.421,
2012-09,23.790,
2012-10,23.818,
2012-11,21.718,
2012-12,22.477,
2013-01,22.193,
2013-02,21.134,
2013-03,20.061,
2013-04,21.647,
2013-05,22.545,
2013-06,21.532,
2013-07,21.630,
2013-08,21.793,
2013-09,11.488,
2013-10,10.364,
2013-11,9.766,
2013-12,11.326,
2014-01,11.039,
2014-02,10.849,
2014-03,11.157,
2014-04,10.564,
2014-05,10.802,
2014-06,10.832,
2014-07,10.964,
2014-08,11.111,
2014-09,10.892,
2014-10,9.633,
2014-11,10.938,
2014-12,9.007,
