"",BBK01.BQ2190,BBK01.BQ2190_FLAGS
"",General government budgetary position (Germany) - total expenditure,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:14,
1991-01,156272,
1991-04,163094,
1991-07,171436,
1991-10,207789,
1992-01,179432,
1992-04,182044,
1992-07,195129,
1992-10,232201,
1993-01,191276,
1993-04,193337,
1993-07,203230,
1993-10,238395,
1994-01,202513,
1994-04,200786,
1994-07,209804,
1994-10,247970,
1995-01,211641,
1995-04,212839,
1995-07,224373,
1995-10,260586,
1996-01,215834,
1996-04,216904,
1996-07,225634,
1996-10,259383,
1997-01,219307,
1997-04,216943,
1997-07,224891,
1997-10,253541,
1998-01,222364,
1998-04,218252,
1998-07,227064,
1998-10,259224,
1999-01,224909,
1999-04,222140,
1999-07,236664,
1999-10,262369,
2000-01,229853,
2000-04,225204,
2000-07,235150,
2000-10,264623,
2001-01,235474,
2001-04,228699,
2001-07,239544,
2001-10,265704,
2002-01,239757,
2002-04,235551,
2002-07,244870,
2002-10,266642,
2003-01,245522,Provisional value
2003-04,239097,Provisional value
2003-07,252349,Provisional value
2003-10,261687,Provisional value
2004-01,248892,Provisional value
2004-04,235195,Provisional value
2004-07,246946,Provisional value
2004-10,258331,Provisional value
2005-01,249877,Provisional value
2005-04,240431,Provisional value
2005-07,248826,Provisional value
2005-10,263814,Provisional value
2006-01,254092,Provisional value
2006-04,235619,Provisional value
2006-07,249214,Provisional value
2006-10,263555,Provisional value
2007-01,256855,Provisional value
2007-04,237021,Provisional value
2007-07,252752,Provisional value
2007-10,267412,Provisional value
2008-01,260185,Provisional value
2008-04,247902,Provisional value
2008-07,262170,Provisional value
2008-10,290341,Provisional value
2009-01,274061,Provisional value
2009-04,271412,Provisional value
2009-07,278688,Provisional value
2009-10,298574,Provisional value
2010-01,278708,Provisional value
2010-04,271495,Provisional value
2010-07,275996,Provisional value
2010-10,304750,Provisional value
2011-01,281032,Provisional value
2011-04,271426,Provisional value
2011-07,282229,Provisional value
2011-10,300061,Provisional value
2012-01,292614,Provisional value
2012-04,281489,Provisional value
2012-07,285554,Provisional value
2012-10,313415,Provisional value
2013-01,294296,Provisional value
2013-04,291877,Provisional value
2013-07,299062,Provisional value
2013-10,315090,Provisional value
2014-01,303385,Provisional value
2014-04,297127,Provisional value
"","General: For Germany as a whole (excluding hospitals with commercial accounting practices, excluding supplementary pension funds for public sector employees)",
