"",BBAI3.Q.DE.N.V.LE.F7.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:30,
2005-10,18451,
2006-01,18316,
2006-04,18017,
2006-07,17740,
2006-10,17613,
2007-01,17633,
2007-04,17597,
2007-07,17669,
2007-10,17694,
2008-01,17693,
2008-04,17723,
2008-07,17714,
2008-10,18113,
2009-01,18573,
2009-04,18603,
2009-07,18941,
2009-10,19320,
2010-01,19501,
2010-04,19665,
2010-07,19904,
2010-10,20046,
2011-01,19989,
2011-04,19985,
2011-07,20120,
2011-10,19524,
2012-01,19648,
2012-04,19701,
2012-07,19865,
2012-10,20017,
2013-01,19834,
2013-04,19670,
2013-07,19589,
2013-10,19472,
2014-01,19680,
2014-04,19780,
2014-07,20106,
