"",BBSF2.M.1.S.I1252.DAC01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.DAC01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number / Other insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:06,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,1,
2010-01,1,
2010-02,1,
2010-03,1,
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,6,
2010-10,7,
2010-11,7,
2010-12,7,
2011-01,7,
2011-02,7,
2011-03,8,
2011-04,8,
2011-05,8,
2011-06,8,
2011-07,8,
2011-08,8,
2011-09,8,
2011-10,8,
2011-11,8,
2011-12,8,
2012-01,8,
2012-02,8,
2012-03,8,
2012-04,8,
2012-05,8,
2012-06,8,
2012-07,9,
2012-08,9,
2012-09,9,
2012-10,9,
2012-11,9,
2012-12,9,
2013-01,10,
2013-02,10,
2013-03,10,
2013-04,10,
2013-05,11,
2013-06,11,
2013-07,11,
2013-08,11,
2013-09,11,
2013-10,12,
2013-11,12,
2013-12,12,
2014-01,12,
2014-02,12,
2014-03,12,
2014-04,12,
2014-05,12,
2014-06,12,
2014-07,12,
2014-08,11,
2014-09,11,
2014-10,11,
2014-11,11,
