"",BBNZ1.Q.DE.N.H.0110.L,BBNZ1.Q.DE.N.H.0110.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Exports of goods and services (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:46,
1970-01,11.28,
1970-04,11.96,
1970-07,12.05,
1970-10,12.95,
1971-01,12.03,
1971-04,12.19,
1971-07,12.54,
1971-10,12.62,
1972-01,12.33,
1972-04,12.88,
1972-07,12.78,
1972-10,14.45,
1973-01,13.80,
1973-04,14.35,
1973-07,14.30,
1973-10,15.59,
1974-01,16.20,
1974-04,16.08,
1974-07,16.10,
1974-10,16.51,
1975-01,14.55,
1975-04,15.23,
1975-07,14.87,
1975-10,16.27,
1976-01,16.10,
1976-04,16.54,
1976-07,16.62,
1976-10,17.91,
1977-01,16.87,
1977-04,17.39,
1977-07,16.97,
1977-10,18.62,
1978-01,17.22,
1978-04,17.93,
1978-07,17.54,
1978-10,19.10,
1979-01,18.24,
1979-04,18.70,
1979-07,18.60,
1979-10,19.84,
1980-01,20.55,
1980-04,19.82,
1980-07,18.96,
1980-10,20.15,
1981-01,19.87,
1981-04,20.75,
1981-07,21.30,
1981-10,23.30,
1982-01,22.21,
1982-04,22.25,
1982-07,21.12,
1982-10,22.80,
1983-01,21.63,
1983-04,21.79,
1983-07,21.17,
1983-10,23.35,
1984-01,23.52,
1984-04,22.76,
1984-07,23.29,
1984-10,26.14,
1985-01,25.63,
1985-04,25.46,
1985-07,25.32,
1985-10,26.44,
1986-01,24.91,
1986-04,25.83,
1986-07,24.68,
1986-10,26.21,
1987-01,24.55,
1987-04,25.38,
1987-07,25.01,
1987-10,27.44,
1988-01,24.79,
1988-04,26.97,
1988-07,26.49,
1988-10,29.93,
1989-01,28.99,
1989-04,30.58,
1989-07,28.85,
1989-10,30.88,
1990-01,31.83,
1990-04,30.75,
1990-07,33.16,
1990-10,37.09,
1991-01,36.94,
1991-04,35.83,
1991-07,36.36,
1991-10,38.36,
1992-01,37.46,
1992-04,35.96,
1992-07,36.26,
1992-10,37.29,
1993-01,34.07,
1993-04,34.18,
1993-07,33.36,
1993-10,36.64,
1994-01,35.50,
1994-04,37.85,
1994-07,36.54,
1994-10,39.20,
1995-01,39.01,
1995-04,39.46,
1995-07,38.48,
1995-10,41.95,
1996-01,40.58,
1996-04,41.11,
1996-07,41.30,
1996-10,45.26,
1997-01,43.02,
1997-04,47.10,
1997-07,47.83,
1997-10,50.91,
1998-01,49.43,
1998-04,51.37,
1998-07,50.12,
1998-10,52.47,
1999-01,49.34,
1999-04,53.45,
1999-07,53.42,
1999-10,58.05,
2000-01,57.84,
2000-04,60.11,
2000-07,59.75,
2000-10,66.18,
2001-01,63.83,
2001-04,64.43,
2001-07,63.12,
2001-10,66.41,
2002-01,63.35,
2002-04,67.44,
2002-07,67.48,
2002-10,70.48,
2003-01,66.16,
2003-04,66.81,
2003-07,68.57,
2003-10,72.34,
2004-01,73.40,
2004-04,77.21,
2004-07,75.23,
2004-10,79.39,
2005-01,76.35,
2005-04,80.80,
2005-07,81.87,
2005-10,86.54,
2006-01,87.32,
2006-04,88.50,
2006-07,90.41,
2006-10,99.32,
2007-01,97.55,
2007-04,98.57,
2007-07,99.87,
2007-10,103.60,
2008-01,102.28,
2008-04,105.02,
2008-07,101.88,
2008-10,98.17,
2009-01,84.62,
2009-04,83.82,
2009-07,87.49,
2009-10,93.32,
2010-01,92.57,
2010-04,99.48,
2010-07,100.99,
2010-10,106.96,
2011-01,106.10,
2011-04,107.23,
2011-07,108.04,
2011-10,110.64,
2012-01,111.40,
2012-04,110.61,
2012-07,111.40,
2012-10,110.79,
2013-01,109.70,
2013-04,112.75,
2013-07,113.15,
2013-10,115.60,
2014-01,113.97,
2014-04,115.28,
2014-07,118.32,
2014-10,121.01,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
