"",BBAI3.Q.DE.N.V.LE.F62.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:08,
2005-10,119956,
2006-01,124986,
2006-04,124597,
2006-07,126136,
2006-10,126099,
2007-01,131200,
2007-04,129288,
2007-07,128694,
2007-10,127209,
2008-01,131971,
2008-04,131041,
2008-07,130331,
2008-10,127850,
2009-01,132752,
2009-04,130529,
2009-07,128784,
2009-10,129125,
2010-01,134542,
2010-04,131917,
2010-07,128666,
2010-10,128098,
2011-01,133150,
2011-04,132024,
2011-07,131320,
2011-10,131031,
2012-01,135370,
2012-04,135057,
2012-07,134907,
2012-10,135646,
2013-01,142222,
2013-04,142191,
2013-07,142073,
2013-10,143414,
2014-01,151125,
2014-04,149686,
2014-07,148810,
