"",BBK01.CEH4CQ,BBK01.CEH4CQ_FLAGS
"",Loans debtor: General government                    creditor: All sectors  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:04,
1991-01,-2.1,
1991-04,3.8,
1991-07,-1.0,
1991-10,9.1,
1992-01,-3.4,
1992-04,-6.8,
1992-07,-2.3,
1992-10,-7.8,
1993-01,-5.3,
1993-04,5.3,
1993-07,3.7,
1993-10,8.8,
1994-01,-1.6,
1994-04,0.1,
1994-07,0.9,
1994-10,18.4,
1995-01,11.6,
1995-04,10.6,
1995-07,16.0,
1995-10,33.0,
1996-01,5.4,
1996-04,-3.5,
1996-07,7.4,
1996-10,17.7,
1997-01,3.3,
1997-04,-6.4,
1997-07,12.8,
1997-10,1.9,
1998-01,9.4,
1998-04,-5.2,
1998-07,4.1,
1998-10,-5.2,
1999-01,-2.4,
1999-04,0.2,
1999-07,-4.9,
1999-10,2.1,
2000-01,7.6,
2000-04,-3.9,
2000-07,6.3,
2000-10,-27.1,
2001-01,9.0,
2001-04,-12.2,
2001-07,-1.5,
2001-10,-2.7,
2002-01,11.2,
2002-04,-20.8,
2002-07,-4.0,
2002-10,4.2,
2003-01,3.5,
2003-04,2.0,
2003-07,12.4,
2003-10,-1.2,
2004-01,11.6,
2004-04,-6.8,
2004-07,1.7,
2004-10,-5.3,
2005-01,11.8,
2005-04,-7.3,
2005-07,6.1,
2005-10,-9.7,
2006-01,8.1,
2006-04,-7.5,
2006-07,6.0,
2006-10,-11.1,
2007-01,6.8,
2007-04,0.2,
2007-07,-8.7,
2007-10,-18.9,
2008-01,23.2,
2008-04,6.3,
2008-07,-14.9,
2008-10,9.1,
2009-01,-5.5,
2009-04,-0.2,
2009-07,9.2,
2009-10,-3.8,
2010-01,-2.2,
2010-04,23.5,
2010-07,2.5,
2010-10,171.1,
2011-01,-17.2,
2011-04,-22.5,
2011-07,0.9,
2011-10,1.3,
2012-01,-4.2,
2012-04,18.0,
2012-07,-19.9,
2012-10,-9.4,
2013-01,-18.3,
2013-04,5.1,
2013-07,-16.1,
2013-10,8.6,
2014-01,-13.9,
