"",BBQFS.M.GR.GOVE.YLD_SPRD_10.DE.GOVE,BBQFS.M.GR.GOVE.YLD_SPRD_10.DE.GOVE_FLAGS
"",Yield spreads between Greek sovereign bonds and Bunds (FSR 2014),
unit,%-Punkte/% points (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:28,
1998-03,3.11,
1998-04,3.18,
1998-05,2.90,
1998-06,2.93,
1998-07,2.98,
1998-08,3.18,
1998-09,4.24,
1998-10,4.41,
1998-11,3.54,
1998-12,3.29,
1999-01,2.68,
1999-02,2.14,
1999-03,1.95,
1999-04,1.97,
1999-05,1.71,
1999-06,1.68,
1999-07,1.68,
1999-08,1.78,
1999-09,1.59,
1999-10,1.73,
1999-11,1.56,
1999-12,1.23,
2000-01,1.06,
2000-02,0.98,
2000-03,0.91,
2000-04,0.86,
2000-05,0.85,
2000-06,0.89,
2000-07,0.82,
2000-08,0.83,
2000-09,0.79,
2000-10,0.75,
2000-11,0.70,
2000-12,0.61,
2001-01,0.55,
2001-02,0.54,
2001-03,0.57,
2001-04,0.53,
2001-05,0.47,
2001-06,0.45,
2001-07,0.48,
2001-08,0.48,
2001-09,0.47,
2001-10,0.44,
2001-11,0.43,
2001-12,0.35,
2002-01,0.34,
2002-02,0.38,
2002-03,0.32,
2002-04,0.33,
2002-05,0.32,
2002-06,0.32,
2002-07,0.33,
2002-08,0.34,
2002-09,0.34,
2002-10,0.29,
2002-11,0.25,
2002-12,0.22,
2003-01,0.23,
2003-02,0.26,
2003-03,0.23,
2003-04,0.20,
2003-05,0.17,
2003-06,0.15,
2003-07,0.12,
2003-08,0.14,
2003-09,0.13,
2003-10,0.13,
2003-11,0.11,
2003-12,0.12,
2004-01,0.17,
2004-02,0.22,
2004-03,0.23,
2004-04,0.23,
2004-05,0.21,
2004-06,0.18,
2004-07,0.19,
2004-08,0.19,
2004-09,0.18,
2004-10,0.19,
2004-11,0.16,
2004-12,0.12,
2005-01,0.10,
2005-02,0.12,
2005-03,0.20,
2005-04,0.25,
2005-05,0.24,
2005-06,0.24,
2005-07,0.23,
2005-08,0.22,
2005-09,0.22,
2005-10,0.21,
2005-11,0.20,
2005-12,0.19,
2006-01,0.27,
2006-02,0.29,
2006-03,0.31,
2006-04,0.33,
2006-05,0.32,
2006-06,0.31,
2006-07,0.30,
2006-08,0.30,
2006-09,0.30,
2006-10,0.28,
2006-11,0.26,
2006-12,0.27,
2007-01,0.25,
2007-02,0.25,
2007-03,0.25,
2007-04,0.23,
2007-05,0.23,
2007-06,0.22,
2007-07,0.27,
2007-08,0.32,
2007-09,0.32,
2007-10,0.28,
2007-11,0.33,
2007-12,0.32,
2008-01,0.35,
2008-02,0.40,
2008-03,0.61,
2008-04,0.51,
2008-05,0.53,
2008-06,0.64,
2008-07,0.64,
2008-08,0.66,
2008-09,0.78,
2008-10,1.04,
2008-11,1.49,
2008-12,2.03,
2009-01,2.48,
2009-02,2.53,
2009-03,2.72,
2009-04,2.30,
2009-05,1.81,
2009-06,1.79,
2009-07,1.50,
2009-08,1.18,
2009-09,1.27,
2009-10,1.34,
2009-11,1.56,
2009-12,2.26,
2010-01,2.74,
2010-02,3.27,
2010-03,3.12,
2010-04,4.71,
2010-05,5.52,
2010-06,6.47,
2010-07,7.64,
2010-08,8.31,
2010-09,8.95,
2010-10,7.18,
2010-11,8.94,
2010-12,8.99,
2011-01,8.67,
2011-02,8.26,
2011-03,9.24,
2011-04,10.63,
2011-05,12.82,
2011-06,13.72,
2011-07,13.58,
2011-08,13.96,
2011-09,20.24,
2011-10,21.75,
2011-11,26.53,
2011-12,32.34,
2012-01,32.46,
2012-02,31.93,
2012-03,22.85,
2012-04,19.60,
2012-05,25.22,
2012-06,26.57,
2012-07,24.60,
2012-08,22.98,
2012-09,19.26,
2012-10,16.34,
2012-11,15.82,
2012-12,11.65,
2013-01,9.51,
2013-02,9.40,
2013-03,9.99,
2013-04,10.31,
2013-05,7.82,
2013-06,8.60,
2013-07,8.99,
2013-08,8.14,
2013-09,8.18,
2013-10,6.93,
2013-11,6.72,
2013-12,6.79,
2014-01,6.32,
2014-02,5.93,
2014-03,5.30,
2014-04,4.64,
2014-05,4.96,
2014-06,4.58,
2014-07,4.89,
2014-08,5.03,
2014-09,4.87,
2014-10,6.40,
2014-11,7.25,
"",Source: Bloomberg and Bundesbank calculations,
"","Methodology: With a residual maturity of ten years. Up to the end of 2000, the yield spreads contain not only credit (and liquidity) risk but also exchange rate risk.",
