"",BBSF2.M.1.P.00000.AKT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
1970-04,41,
1970-05,10,
1970-06,47,
1970-07,35,
1970-08,52,
1970-09,32,
1970-10,18,
1970-11,34,
1970-12,37,
1971-01,43,
1971-02,60,
1971-03,41,
1971-04,34,
1971-05,22,
1971-06,21,
1971-07,24,
1971-08,40,
1971-09,20,
1971-10,22,
1971-11,58,
1971-12,40,
1972-01,44,
1972-02,89,
1972-03,60,
1972-04,88,
1972-05,27,
1972-06,37,
1972-07,54,
1972-08,67,
1972-09,39,
1972-10,57,
1972-11,103,
1972-12,62,
1973-01,82,
1973-02,126,
1973-03,54,
1973-04,39,
1973-05,35,
1973-06,24,
1973-07,18,
1973-08,58,
1973-09,18,
1973-10,20,
1973-11,49,
1973-12,17,
1974-01,19,
1974-02,32,
1974-03,9,
1974-04,-3,
1974-05,2,
1974-06,-2,
1974-07,-5,
1974-08,34,
1974-09,-3,
1974-10,1,
1974-11,41,
1974-12,18,
1975-01,19,
1975-02,53,
1975-03,28,
1975-04,20,
1975-05,17,
1975-06,24,
1975-07,31,
1975-08,74,
1975-09,30,
1975-10,36,
1975-11,120,
1975-12,47,
1976-01,54,
1976-02,71,
1976-03,44,
1976-04,32,
1976-05,27,
1976-06,31,
1976-07,30,
1976-08,102,
1976-09,47,
1976-10,64,
1976-11,163,
1976-12,97,
1977-01,75,
1977-02,56,
1977-03,12,
1977-04,47,
1977-05,68,
1977-06,9,
1977-07,2,
1977-08,69,
1977-09,23,
1977-10,11,
1977-11,143,
1977-12,38,
1978-01,53,
1978-02,82,
1978-03,32,
1978-04,36,
1978-05,18,
1978-06,-2,
1978-07,-9,
1978-08,56,
1978-09,-25,
1978-10,-31,
1978-11,83,
1978-12,20,
1979-01,29,
1979-02,60,
1979-03,19,
1979-04,6,
1979-05,-10,
1979-06,-15,
1979-07,-38,
1979-08,-8,
1979-09,-42,
1979-10,-45,
1979-11,-12,
1979-12,-28,
1980-01,-46,
1980-02,-28,
1980-03,-72,
1980-04,-39,
1980-05,-45,
1980-06,-47,
1980-07,-59,
1980-08,7,
1980-09,-43,
1980-10,-50,
1980-11,-6,
1980-12,-33,
1981-01,-25,
1981-02,-38,
1981-03,-52,
1981-04,-51,
1981-05,-60,
1981-06,-63,
1981-07,-69,
1981-08,-36,
1981-09,-67,
1981-10,-43,
1981-11,-25,
1981-12,-35,
1982-01,-27,
1982-02,-73,
1982-03,-36,
1982-04,-37,
1982-05,-20,
1982-06,-25,
1982-07,-56,
1982-08,-9,
1982-09,-36,
1982-10,-37,
1982-11,33,
1982-12,-20,
1983-01,-8,
1983-02,37,
1983-03,118,
1983-04,6,
1983-05,-31,
1983-06,65,
1983-07,38,
1983-08,-3,
1983-09,-61,
1983-10,89,
1983-11,80,
1983-12,-38,
1984-01,-55,
1984-02,-29,
1984-03,-36,
1984-04,-42,
1984-05,-39,
1984-06,-21,
1984-07,-31,
1984-08,-30,
1984-09,-109,
1984-10,-93,
1984-11,-58,
1984-12,-33,
1985-01,-115,
1985-02,-100,
1985-03,-137,
1985-04,-57,
1985-05,-56,
1985-06,-22,
1985-07,-4,
1985-08,5,
1985-09,-11,
1985-10,95,
1985-11,-50,
1985-12,-38,
1986-01,-155,
1986-02,-47,
1986-03,-52,
1986-04,9,
1986-05,-15,
1986-06,2,
1986-07,-39,
1986-08,31,
1986-09,-38,
1986-10,17,
1986-11,-5,
1986-12,20,
1987-01,6,
1987-02,-22,
1987-03,3,
1987-04,-52,
1987-05,144,
1987-06,0,
1987-07,39,
1987-08,86,
1987-09,29,
1987-10,90,
1987-11,70,
1987-12,-6,
1988-01,24,
1988-02,50,
1988-03,25,
1988-04,32,
1988-05,52,
1988-06,-30,
1988-07,-15,
1988-08,133,
1988-09,-24,
1988-10,-38,
1988-11,60,
1988-12,35,
1989-01,39,
1989-02,21,
1989-03,64,
1989-04,6,
1989-05,64,
1989-06,-50,
1989-07,-101,
1989-08,104,
1989-09,-162,
1989-10,51,
1989-11,27,
1989-12,-63,
1990-01,170,
1990-02,118,
1990-03,48,
1990-04,129,
1990-05,101,
1990-06,47,
1990-07,52,
1990-08,303,
1990-09,97,
1990-10,258,
1990-11,235,
1990-12,177,
1991-01,96,
1991-02,180,
1991-03,748,
1991-04,14,
1991-05,77,
1991-06,20,
1991-07,55,
1991-08,59,
1991-09,3,
1991-10,117,
1991-11,196,
1991-12,94,
1992-01,67,
1992-02,158,
1992-03,113,
1992-04,149,
1992-05,99,
1992-06,89,
1992-07,76,
1992-08,113,
1992-09,44,
1992-10,118,
1992-11,99,
1992-12,78,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,127,
1993-05,155,
1993-06,91,
1993-07,231,
1993-08,382,
1993-09,421,
1993-10,812,
1993-11,914,
1993-12,1106,
1994-01,1384,
1994-02,1083,
1994-03,763,
1994-04,386,
1994-05,284,
1994-06,360,
1994-07,374,
1994-08,112,
1994-09,90,
1994-10,247,
1994-11,135,
1994-12,176,
1995-01,-69,
1995-02,194,
1995-03,162,
1995-04,-22,
1995-05,36,
1995-06,-16,
1995-07,-13,
1995-08,-173,
1995-09,-36,
1995-10,378,
1995-11,167,
1995-12,26,
1996-01,-105,
1996-02,-89,
1996-03,-207,
1996-04,125,
1996-05,-4,
1996-06,-102,
1996-07,-85,
1996-08,313,
1996-09,184,
1996-10,14,
1996-11,429,
1996-12,109,
1997-01,1231,
1997-02,1766,
1997-03,1325,
1997-04,833,
1997-05,778,
1997-06,1150,
1997-07,1281,
1997-08,40,
1997-09,872,
1997-10,495,
1997-11,673,
1997-12,530,
1998-01,-186,
1998-02,-224,
1998-03,1024,
1998-04,1259,
1998-05,1436,
1998-06,921,
1998-07,1566,
1998-08,1037,
1998-09,1790,
1998-10,1203,
1998-11,1449,
1998-12,184,
1999-01,1350,
1999-02,1467,
1999-03,1424,
1999-04,746,
1999-05,997,
1999-06,1424,
1999-07,1949,
1999-08,1359,
1999-09,622,
1999-10,1506,
1999-11,2534,
1999-12,1589,
2000-01,5003,
2000-02,4301,
2000-03,3601,
2000-04,3635,
2000-05,3175,
2000-06,2267,
2000-07,3443,
2000-08,2951,
2000-09,2494,
2000-10,3264,
2000-11,2703,
2000-12,1663,
2001-01,2595,
2001-02,715,
2001-03,-553,
2001-04,1345,
2001-05,719,
2001-06,-92,
2001-07,302,
2001-08,-711,
2001-09,-1675,
2001-10,274,
2001-11,1392,
2001-12,771,
2002-01,571,
2002-02,15,
2002-03,415,
2002-04,-84,
2002-05,1165,
2002-06,-109,
2002-07,-126,
2002-08,-276,
2002-09,-139,
2002-10,34,
2002-11,1509,
2002-12,-217,
2003-01,-588,
2003-02,-436,
2003-03,177,
2003-04,855,
2003-05,261,
2003-06,836,
2003-07,-72,
2003-08,674,
2003-09,-314,
2003-10,804,
2003-11,120,
2003-12,12,
2004-01,1096,
2004-02,-260,
2004-03,-190,
2004-04,-300,
2004-05,-342,
2004-06,-714,
2004-07,-207,
2004-08,-1156,
2004-09,-412,
2004-10,291,
2004-11,436,
2004-12,343,
2005-01,-778,
2005-02,-544,
2005-03,-429,
2005-04,-1259,
2005-05,-456,
2005-06,919,
2005-07,1096,
2005-08,313,
2005-09,-230,
2005-10,238,
2005-11,1404,
2005-12,88,
2006-01,-1046,
2006-02,1075,
2006-03,-501,
2006-04,-1303,
2006-05,-508,
2006-06,-1234,
2006-07,279,
2006-08,-642,
2006-09,-751,
2006-10,-736,
2006-11,-1168,
2006-12,-38,
2007-01,-1160,
2007-02,170,
2007-03,-1633,
2007-04,-476,
2007-05,-996,
2007-06,-1346,
2007-07,-599,
2007-08,-1581,
2007-09,-272,
2007-10,263,
2007-11,8,
2007-12,-394,
2008-01,-2544,
2008-02,-665,
2008-03,-189,
2008-04,4972,
2008-05,1032,
2008-06,-4914,
2008-07,-81,
2008-08,-257,
2008-09,-817,
2008-10,-1794,
2008-11,928,
2008-12,1348,
2009-01,3948,
2009-02,-1325,
2009-03,-1911,
2009-04,1010,
2009-05,1843,
2009-06,-514,
2009-07,1123,
2009-08,-101,
2009-09,264,
2009-10,508,
2009-11,576,
2009-12,524,
2010-01,-877,
2010-02,838,
2010-03,-403,
2010-04,-1024,
2010-05,5258,
2010-06,-5582,
2010-07,171,
2010-08,79,
2010-09,85,
2010-10,824,
2010-11,1500,
2010-12,1721,
2011-01,273,
2011-02,274,
2011-03,-393,
2011-04,397,
2011-05,1466,
2011-06,-491,
2011-07,3079,
2011-08,-1234,
2011-09,-1185,
2011-10,467,
2011-11,328,
2011-12,-29,
2012-01,-53,
2012-02,-458,
2012-03,-386,
2012-04,-4236,
2012-05,2538,
2012-06,343,
2012-07,125,
2012-08,-269,
2012-09,-309,
2012-10,-41,
2012-11,127,
2012-12,648,
2013-01,-38,
2013-02,315,
2013-03,-231,
2013-04,-795,
2013-05,-422,
2013-06,245,
2013-07,960,
2013-08,-239,
2013-09,-75,
2013-10,867,
2013-11,556,
2013-12,-218,
2014-01,-792,
2014-02,596,
2014-03,-404,
2014-04,-457,
2014-05,476,
2014-06,348,
2014-07,-285,
2014-08,-24,
2014-09,-2896,
2014-10,-1244,
2014-11,-1744,
