"",BBAI3.Q.DE.N.V.LE.F51M.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:38,
2005-10,196737,
2006-01,193604,
2006-04,192321,
2006-07,195487,
2006-10,200169,
2007-01,200083,
2007-04,201689,
2007-07,211198,
2007-10,217831,
2008-01,212842,
2008-04,208788,
2008-07,200963,
2008-10,197182,
2009-01,190043,
2009-04,181877,
2009-07,180013,
2009-10,178114,
2010-01,180947,
2010-04,183064,
2010-07,184451,
2010-10,185450,
2011-01,186497,
2011-04,188308,
2011-07,190292,
2011-10,193483,
2012-01,193285,
2012-04,192576,
2012-07,195086,
2012-10,190278,
2013-01,198570,
2013-04,197366,
2013-07,197073,
2013-10,195707,
2014-01,196010,
2014-04,196952,
2014-07,198000,
