"",BBSF2.M.1.P.00000.REN01.I.F.SSD.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.SSD.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Borrowers' note loans,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:35,
2009-09,6,
2009-10,6,
2009-11,6,
2009-12,6,
2010-01,6,
2010-02,6,
2010-03,6,
2010-04,6,
2010-05,5,
2010-06,5,
2010-07,5,
2010-08,5,
2010-09,5,
2010-10,5,
2010-11,5,
2010-12,5,
2011-01,5,
2011-02,5,
2011-03,5,
2011-04,5,
2011-05,5,
2011-06,5,
2011-07,5,
2011-08,5,
2011-09,5,
2011-10,5,
2011-11,5,
2011-12,5,
2012-01,5,
2012-02,5,
2012-03,5,
2012-04,5,
2012-05,5,
2012-06,5,
2012-07,5,
2012-08,5,
2012-09,5,
2012-10,5,
2012-11,5,
2012-12,5,
2013-01,5,
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,-,Nothing exists
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,1,
2014-04,1,
2014-05,3,
2014-06,4,
2014-07,5,
2014-08,4,
2014-09,4,
2014-10,4,
2014-11,4,
