"",BBAI3.Q.DE.N.V.LE.F.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:16,
2005-10,127026,
2006-01,129321,
2006-04,132065,
2006-07,134830,
2006-10,138964,
2007-01,141995,
2007-04,145841,
2007-07,147920,
2007-10,151145,
2008-01,153133,
2008-04,155773,
2008-07,157553,
2008-10,158400,
2009-01,160322,
2009-04,163906,
2009-07,166770,
2009-10,170161,
2010-01,173802,
2010-04,176762,
2010-07,179383,
2010-10,182792,
2011-01,187120,
2011-04,190556,
2011-07,191882,
2011-10,194895,
2012-01,200205,
2012-04,203601,
2012-07,206896,
2012-10,211392,
2013-01,215595,
2013-04,219061,
2013-07,221458,
2013-10,226394,
2014-01,230368,
2014-04,233959,
2014-07,236256,
