"",BBFN1.M.DE.N.1.A.KR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1996-01,0.022,
1996-02,0.021,
1996-03,0.021,
1996-04,0.021,
1996-05,0.021,
1996-06,0.021,
1996-07,0.021,
1996-08,0.021,
1996-09,0.021,
1996-10,0.021,
1996-11,0.021,
1996-12,0.008,
1997-01,0.008,
1997-02,0.008,
1997-03,0.008,
1997-04,0.008,
1997-05,0.008,
1997-06,0.008,
1997-07,0.033,
1997-08,0.033,
1997-09,0.033,
1997-10,0.033,
1997-11,0.033,
1997-12,0.033,
1998-01,0.034,
1998-02,0.036,
1998-03,0.037,
1998-04,0.038,
1998-05,0.174,
1998-06,0.174,
1998-07,0.197,
1998-08,0.197,
1998-09,0.197,
1998-10,0.197,
1998-11,0.201,
1998-12,0.236,
1999-01,0.236,
1999-02,0.196,
1999-03,0.196,
1999-04,0.194,
1999-05,0.199,
1999-06,0.197,
1999-07,0.198,
1999-08,0.198,
1999-09,0.207,
1999-10,0.188,
1999-11,0.188,
1999-12,0.175,
2000-01,0.175,
2000-02,0.175,
2000-03,0.187,
2000-04,0.164,
2000-05,0.164,
2000-06,0.155,
2000-07,0.154,
2000-08,0.156,
2000-09,0.181,
2000-10,0.181,
2000-11,0.181,
2000-12,0.181,
2001-01,0.181,
2001-02,0.179,
2001-03,0.163,
2001-04,0.223,
2001-05,0.221,
2001-06,0.231,
2001-07,0.225,
2001-08,0.322,
2001-09,0.232,
2001-10,0.234,
2001-11,0.234,
2001-12,0.233,
2002-01,0.289,
2002-02,0.274,
2002-03,0.272,
2002-04,0.272,
2002-05,0.271,
2002-06,0.314,
2002-07,0.313,
2002-08,0.313,
2002-09,0.313,
2002-10,0.313,
2002-11,0.314,
2002-12,0.314,
2003-01,0.313,
2003-02,0.336,
2003-03,0.334,
2003-04,0.334,
2003-05,0.334,
2003-06,0.334,
2003-07,0.335,
2003-08,0.335,
2003-09,0.335,
2003-10,0.335,
2003-11,0.302,
2003-12,0.219,
2004-01,0.219,
2004-02,0.216,
2004-03,0.216,
2004-04,0.216,
2004-05,0.216,
2004-06,0.232,
2004-07,0.215,
2004-08,0.216,
2004-09,0.232,
2004-10,0.235,
2004-11,0.238,
2004-12,0.237,
2005-01,0.241,
2005-02,0.262,
2005-03,0.277,
2005-04,0.278,
2005-05,0.279,
2005-06,0.262,
2005-07,0.266,
2005-08,0.266,
2005-09,0.267,
2005-10,0.267,
2005-11,0.268,
2005-12,0.268,
2006-01,0.265,
2006-02,0.261,
2006-03,0.269,
2006-04,0.268,
2006-05,0.288,
2006-06,0.369,
2006-07,0.374,
2006-08,0.380,
2006-09,0.381,
2006-10,0.382,
2006-11,0.387,
2006-12,0.268,
2007-01,0.244,
2007-02,0.215,
2007-03,0.200,
2007-04,0.202,
2007-05,0.218,
2007-06,0.180,
2007-07,0.154,
2007-08,0.156,
2007-09,0.144,
2007-10,0.145,
2007-11,0.068,
2007-12,0.061,
2008-01,0.060,
2008-02,0.080,
2008-03,0.065,
2008-04,0.086,
2008-05,0.294,
2008-06,0.293,
2008-07,0.287,
2008-08,0.287,
2008-09,0.287,
2008-10,0.287,
2008-11,0.289,
2008-12,0.290,
2009-01,0.296,
2009-02,0.296,
2009-03,0.308,
2009-04,0.308,
2009-05,0.308,
2009-06,0.300,
2009-07,0.299,
2009-08,0.312,
2009-09,0.321,
2009-10,0.334,
2009-11,0.347,
2009-12,0.347,
2010-01,0.350,
2010-02,0.375,
2010-03,0.381,
2010-04,0.384,
2010-05,0.402,
2010-06,0.339,
2010-07,0.366,
2010-08,0.365,
2010-09,0.364,
2010-10,0.346,
2010-11,0.344,
2010-12,0.378,
2011-01,0.376,
2011-02,0.375,
2011-03,0.382,
2011-04,0.381,
2011-05,0.392,
2011-06,0.396,
2011-07,0.397,
2011-08,0.422,
2011-09,0.421,
2011-10,0.423,
2011-11,0.309,
2011-12,0.318,
2012-01,0.294,
2012-02,0.301,
2012-03,0.270,
2012-04,0.276,
2012-05,0.319,
2012-06,0.321,
2012-07,0.352,
2012-08,0.350,
2012-09,0.351,
2012-10,0.362,
2012-11,0.348,
2012-12,0.352,
2013-01,0.365,
2013-02,0.381,
2013-03,0.405,
2013-04,0.401,
2013-05,0.389,
2013-06,0.379,
2013-07,0.370,
2013-08,0.352,
2013-09,0.339,
2013-10,0.333,
2013-11,0.310,
2013-12,0.289,
2014-01,0.290,
2014-02,0.284,
2014-03,0.295,
2014-04,0.288,
2014-05,0.295,
2014-06,0.316,
2014-07,0.312,
2014-08,0.335,
2014-09,0.337,
2014-10,0.335,
2014-11,0.333,
2014-12,0.341,
