"",BBAI3.Q.DE.N.V.LE.F34.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F34.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:35,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,356,
2009-04,358,
2009-07,335,
2009-10,385,
2010-01,401,
2010-04,418,
2010-07,475,
2010-10,474,
2011-01,466,
2011-04,525,
2011-07,563,
2011-10,626,
2012-01,786,
2012-04,804,
2012-07,830,
2012-10,824,
2013-01,857,
2013-04,1010,
2013-07,1059,
2013-10,912,
2014-01,1001,
2014-04,1011,
2014-07,1099,
