"",BBSF2.M.1.S.I1250.SON01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.SON01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:42,
2009-09,363,
2009-10,365,
2009-11,366,
2009-12,357,
2010-01,362,
2010-02,380,
2010-03,379,
2010-04,385,
2010-05,388,
2010-06,393,
2010-07,388,
2010-08,405,
2010-09,402,
2010-10,409,
2010-11,408,
2010-12,647,
2011-01,639,
2011-02,639,
2011-03,640,
2011-04,572,
2011-05,588,
2011-06,585,
2011-07,592,
2011-08,590,
2011-09,580,
2011-10,581,
2011-11,590,
2011-12,585,
2012-01,588,
2012-02,594,
2012-03,730,
2012-04,714,
2012-05,696,
2012-06,687,
2012-07,755,
2012-08,783,
2012-09,814,
2012-10,836,
2012-11,845,
2012-12,861,
2013-01,891,
2013-02,947,
2013-03,985,
2013-04,1070,
2013-05,1039,
2013-06,1010,
2013-07,1021,
2013-08,1032,
2013-09,992,
2013-10,961,
2013-11,991,
2013-12,994,
2014-01,1031,
2014-02,1084,
2014-03,1123,
2014-04,1169,
2014-05,1191,
2014-06,1201,
2014-07,1212,
2014-08,1462,
2014-09,1459,
2014-10,1468,
2014-11,1498,
