"",BBDP1.A.DE.N.VPI.C.A00000.I10.L,BBDP1.A.DE.N.VPI.C.A00000.I10.L_FLAGS
"",Consumer price index / Germany / Unadjusted figure / Total,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:50:06,
1949,22.3,
1950,20.9,
1951,22.5,
1952,23.0,
1953,22.6,
1954,22.6,
1955,23.0,
1956,23.6,
1957,24.0,
1958,24.6,
1959,24.8,
1960,25.2,
1961,25.7,
1962,26.5,
1963,27.3,
1964,27.9,
1965,28.8,
1966,29.9,
1967,30.4,
1968,30.8,
1969,31.4,
1970,32.5,
1971,34.2,
1972,36.1,
1973,38.6,
1974,41.3,
1975,43.8,
1976,45.6,
1977,47.3,
1978,48.6,
1979,50.6,
1980,53.3,
1981,56.7,
1982,59.7,
1983,61.6,
1984,63.1,
1985,64.4,
1986,64.3,
1987,64.5,
1988,65.3,
1989,67.1,
1990,69.0,
1991,71.5,
1992,74.3,
1993,77.0,
1994,79.0,
1995,80.5,
1996,81.6,
1997,83.2,
1998,84.0,
1999,84.5,
2000,85.7,
2001,87.4,
2002,88.6,
2003,89.6,
2004,91.0,
2005,92.5,
2006,93.9,
2007,96.1,
2008,98.6,
2009,98.9,
2010,100.0,
2011,102.1,
2012,104.1,
2013,105.7,
2014,106.6,
"","General: Up to 1961: price index for the standard of living of four-person households of workers and salaried staff with average incomes,                                          1962-1999: price index for the standard of living of all private households,                                       as of 2000: consumer price index.",
