"",BBNZ1.A.DE.N.H.0103.L,BBNZ1.A.DE.N.H.0103.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Private consumption (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:41,
1950,12.91,
1951,13.86,
1952,15.09,
1953,16.64,
1954,17.75,
1955,19.58,
1956,21.31,
1957,22.61,
1958,23.79,
1959,25.32,
1960,27.59,
1961,29.27,
1962,30.93,
1963,31.79,
1964,33.50,
1965,35.79,
1966,36.91,
1967,37.33,
1968,39.09,
1969,42.20,
1970,45.45,
1971,47.94,
1972,50.51,
1973,51.96,
1974,51.86,
1975,53.79,
1976,56.09,
1977,58.48,
1978,60.58,
1979,62.54,
1980,63.48,
1981,63.24,
1982,62.61,
1983,63.49,
1984,64.73,
1985,65.93,
1986,68.44,
1987,70.88,
1988,72.77,
1989,74.98,
1990,78.14,
1991,81.55,
1992,84.26,
1993,84.77,
1994,86.47,
1995,88.17,
1996,89.28,
1997,90.00,
1998,91.11,
1999,93.46,
2000,95.41,
2001,96.96,
2002,96.19,
2003,96.30,
2004,97.05,
2005,97.43,
2006,98.91,
2007,98.85,
2008,99.37,
2009,99.40,
2010,100.00,
2011,102.28,
2012,102.96,
2013,103.80,
2014,105.01,
"","General: 1 Source of the original data: Bundesbank calculations up to 1959 and Federal Statistical Office as of 1960. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). Figures up to 1959 include additional estimates for Saarland and West Berlin. - 3 Methodology: At constant prices prior to 1970, at previous-year prices as of 1970. Figures at previous-year prices are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
