"",BBXS1.Q.DE.S.EUBUCS.MANU.MAN013.TT.PCT.I00,BBXS1.Q.DE.S.EUBUCS.MANU.MAN013.TT.PCT.I00_FLAGS
"",Business and consumer surveys (European Commission) / Capacity utilization (man) / Seasonally adjusted only / Germany,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:37,
1985-01,82.4,
1985-04,82.7,
1985-07,84.7,
1985-10,84.5,
1986-01,85.1,
1986-04,84.1,
1986-07,85.3,
1986-10,84.9,
1987-01,84.3,
1987-04,83.3,
1987-07,84.4,
1987-10,84.1,
1988-01,84.6,
1988-04,84.7,
1988-07,85.8,
1988-10,87.0,
1989-01,88.2,
1989-04,88.2,
1989-07,88.9,
1989-10,89.1,
1990-01,89.3,
1990-04,89.9,
1990-07,89.5,
1990-10,90.0,
1991-01,90.0,
1991-04,89.1,
1991-07,88.7,
1991-10,87.1,
1992-01,86.4,
1992-04,85.9,
1992-07,84.3,
1992-10,80.3,
1993-01,79.3,
1993-04,79.9,
1993-07,78.8,
1993-10,79.0,
1994-01,80.6,
1994-04,82.1,
1994-07,83.9,
1994-10,85.4,
1995-01,85.3,
1995-04,85.7,
1995-07,84.9,
1995-10,85.1,
1996-01,83.1,
1996-04,82.0,
1996-07,81.9,
1996-10,82.2,
1997-01,83.7,
1997-04,84.0,
1997-07,84.8,
1997-10,86.2,
1998-01,86.6,
1998-04,87.1,
1998-07,86.7,
1998-10,85.4,
1999-01,85.0,
1999-04,84.7,
1999-07,84.8,
1999-10,85.4,
2000-01,86.5,
2000-04,86.6,
2000-07,87.2,
2000-10,87.6,
2001-01,87.1,
2001-04,85.3,
2001-07,84.4,
2001-10,83.5,
2002-01,82.1,
2002-04,82.0,
2002-07,82.5,
2002-10,83.3,
2003-01,82.5,
2003-04,82.8,
2003-07,81.9,
2003-10,83.7,
2004-01,83.6,
2004-04,84.0,
2004-07,84.5,
2004-10,84.6,
2005-01,84.3,
2005-04,83.5,
2005-07,84.1,
2005-10,84.2,
2006-01,84.7,
2006-04,86.3,
2006-07,87.4,
2006-10,87.9,
2007-01,87.8,
2007-04,88.9,
2007-07,88.3,
2007-10,88.2,
2008-01,88.3,
2008-04,87.8,
2008-07,86.7,
2008-10,84.8,
2009-01,76.0,
2009-04,70.6,
2009-07,70.0,
2009-10,71.2,
2010-01,74.4,
2010-04,79.4,
2010-07,81.9,
2010-10,83.1,
2011-01,85.6,
2011-04,86.8,
2011-07,86.7,
2011-10,85.1,
2012-01,85.3,
2012-04,85.2,
2012-07,82.6,
2012-10,80.7,
2013-01,82.2,
2013-04,81.5,
2013-07,82.5,
2013-10,82.3,
2014-01,83.3,
2014-04,83.9,
2014-07,84.0,
2014-10,84.4,
2015-01,84.8,
"",Source: European Commision - Directorate-General for Economic and Financial Affairs (DG ECFIN),
"",Methodology: Data are collected at the beginning of the quarters.,
