"",BBSF2.M.1.S.I1251.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:46,
2009-09,897,
2009-10,5950,
2009-11,2694,
2009-12,2510,
2010-01,487,
2010-02,1596,
2010-03,2470,
2010-04,1459,
2010-05,1269,
2010-06,771,
2010-07,2013,
2010-08,1205,
2010-09,882,
2010-10,1306,
2010-11,1102,
2010-12,2585,
2011-01,1715,
2011-02,431,
2011-03,1327,
2011-04,315,
2011-05,723,
2011-06,683,
2011-07,182,
2011-08,697,
2011-09,944,
2011-10,26,
2011-11,5104,
2011-12,1937,
2012-01,723,
2012-02,6162,
2012-03,1695,
2012-04,564,
2012-05,309,
2012-06,1662,
2012-07,290,
2012-08,563,
2012-09,761,
2012-10,1178,
2012-11,5273,
2012-12,3209,
2013-01,386,
2013-02,2105,
2013-03,2697,
2013-04,706,
2013-05,2477,
2013-06,1259,
2013-07,1208,
2013-08,722,
2013-09,1156,
2013-10,2982,
2013-11,659,
2013-12,2398,
2014-01,650,
2014-02,1064,
2014-03,1249,
2014-04,5945,
2014-05,1515,
2014-06,978,
2014-07,4593,
2014-08,1178,
2014-09,1073,
2014-10,1053,
2014-11,1472,
