"",BBK01.CE4AAT,BBK01.CE4AAT_FLAGS
"",Longer-term claims on insurance corporations debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:33,
1991-01,11.0,
1991-04,1.5,
1991-07,11.3,
1991-10,3.1,
1992-01,8.9,
1992-04,7.3,
1992-07,7.1,
1992-10,6.6,
1993-01,4.6,
1993-04,11.1,
1993-07,8.6,
1993-10,12.7,
1994-01,7.9,
1994-04,12.5,
1994-07,7.9,
1994-10,9.1,
1995-01,13.5,
1995-04,9.4,
1995-07,9.5,
1995-10,10.6,
1996-01,14.3,
1996-04,9.9,
1996-07,10.2,
1996-10,12.3,
1997-01,16.1,
1997-04,10.4,
1997-07,11.5,
1997-10,12.4,
1998-01,17.1,
1998-04,12.3,
1998-07,9.6,
1998-10,14.1,
1999-01,16.9,
1999-04,11.1,
1999-07,13.0,
1999-10,17.2,
2000-01,17.5,
2000-04,10.9,
2000-07,12.3,
2000-10,14.0,
2001-01,17.2,
2001-04,10.0,
2001-07,12.3,
2001-10,4.0,
2002-01,16.9,
2002-04,9.9,
2002-07,11.6,
2002-10,-6.9,
2003-01,15.4,
2003-04,9.4,
2003-07,10.3,
2003-10,9.0,
2004-01,12.9,
2004-04,8.8,
2004-07,8.8,
2004-10,14.7,
2005-01,13.1,
2005-04,9.3,
2005-07,9.3,
2005-10,24.6,
2006-01,17.6,
2006-04,14.1,
2006-07,16.1,
2006-10,15.8,
2007-01,17.1,
2007-04,14.9,
2007-07,16.9,
2007-10,31.9,
2008-01,7.3,
2008-04,6.4,
2008-07,7.2,
2008-10,7.6,
2009-01,21.0,
2009-04,12.8,
2009-07,11.5,
2009-10,16.9,
2010-01,26.2,
2010-04,17.8,
2010-07,12.1,
2010-10,16.8,
2011-01,16.3,
2011-04,10.1,
2011-07,7.8,
2011-10,11.1,
2012-01,23.7,
2012-04,16.0,
2012-07,12.3,
2012-10,15.6,
2013-01,23.9,
2013-04,16.3,
2013-07,11.9,
2013-10,15.4,
2014-01,24.6,
