"",BBEX3.M.KRW.USD.CA.AC.A01,BBEX3.M.KRW.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in the Republic of Korea / USD 1 = KRW ... (middle),
unit,KRW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:37,
1968-01,274.700,
1968-02,274.700,
1968-03,274.700,
1968-04,274.800,
1968-05,274.800,
1968-06,274.800,
1968-07,274.800,
1968-08,276.500,
1968-09,279.500,
1968-10,280.900,
1968-11,281.600,
1968-12,281.500,
1969-01,281.700,
1969-02,282.400,
1969-03,283.200,
1969-04,284.200,
1969-05,285.000,
1969-06,285.000,
1969-07,286.300,
1969-08,287.600,
1969-09,288.800,
1969-10,291.400,
1969-11,304.550,
1969-12,304.450,
1970-01,305.350,
1970-02,306.150,
1970-03,306.850,
1970-04,308.650,
1970-05,309.350,
1970-06,310.750,
1970-07,312.350,
1970-08,312.950,
1970-09,313.850,
1970-10,314.950,
1970-11,315.750,
1970-12,316.650,
1971-01,318.550,
1971-02,320.250,
1971-03,322.250,
1971-04,324.150,
1971-05,326.350,
1971-06,370.800,comment
1971-07,370.800,
1971-08,370.800,
1971-09,370.800,
1971-10,370.800,
1971-11,370.800,
1971-12,373.300,
1972-01,376.400,
1972-02,382.000,
1972-03,387.100,
1972-04,392.900,
1972-05,396.100,
1972-06,399.700,
1972-07,399.300,
1972-08,399.000,
1972-09,398.700,
1972-10,398.700,
1972-11,398.800,
1972-12,398.900,
1973-01,398.900,
1973-02,398.900,
1973-03,398.900,
1973-04,399.000,
1973-05,398.900,
1973-06,398.900,
1973-07,398.700,
1973-08,398.300,
1973-09,397.700,
1973-10,397.200,
1973-11,396.900,
1973-12,397.500,
1974-01,398.200,
1974-02,398.500,
1974-03,398.900,
1974-04,399.000,
1974-05,399.000,
1974-06,399.000,
1974-07,399.000,
1974-08,399.000,
1974-09,399.000,
1974-10,399.000,
1974-11,399.000,
1974-12,484.000,comment
1975-01,484.000,
1975-02,484.000,
1975-03,484.000,
1975-04,484.000,
1975-05,484.000,
1975-06,484.000,
1975-07,484.000,
1975-08,484.000,
1975-09,484.000,
1975-10,484.000,
1975-11,484.000,
1975-12,484.000,
1976-01,484.000,
1976-02,484.000,
1976-03,484.000,
1976-04,484.000,
1976-05,484.000,
1976-06,484.000,
1976-07,484.000,
1976-08,484.000,
1976-09,484.000,
1976-10,484.000,
1976-11,484.000,
1976-12,484.000,
1977-01,484.000,
1977-02,484.000,
1977-03,484.000,
1977-04,484.000,
1977-05,484.000,
1977-06,484.000,
1977-07,484.000,
1977-08,484.000,
1977-09,484.000,
1977-10,484.000,
1977-11,484.000,
1977-12,484.000,
1978-01,484.000,
1978-02,484.000,
1978-03,484.000,
1978-04,484.000,
1978-05,484.000,
1978-06,484.000,
1978-07,484.000,
1978-08,484.000,
1978-09,484.000,
1978-10,484.000,
1978-11,484.000,
1978-12,484.000,
1979-01,484.000,
1979-02,484.000,
1979-03,484.000,
1979-04,484.000,
1979-05,484.000,
1979-06,484.000,
1979-07,484.000,
1979-08,484.000,
1979-09,484.000,
1979-10,484.000,
1979-11,484.000,
1979-12,484.000,
1980-01,580.000,comment
1980-02,580.700,
1980-03,586.100,
1980-04,590.500,
1980-05,596.200,
1980-06,603.000,
1980-07,612.100,
1980-08,616.300,
1980-09,625.000,
1980-10,651.600,
1980-11,658.800,
1980-12,659.900,
1981-01,665.700,
1981-02,670.500,
1981-03,672.800,
1981-04,678.900,
1981-05,683.800,
1981-06,685.100,
1981-07,686.900,
1981-08,685.500,
1981-09,685.500,
1981-10,687.200,
1981-11,689.900,
1981-12,700.500,
1982-01,708.300,
1982-02,712.000,
1982-03,718.300,
1982-04,721.300,
1982-05,733.100,
1982-06,740.800,
1982-07,741.300,
1982-08,741.900,
1982-09,742.900,
1982-10,744.900,
1982-11,744.900,
1982-12,748.800,
1983-01,751.500,
1983-02,753.100,
1983-03,763.400,
1983-04,767.900,
1983-05,771.100,
1983-06,776.700,
1983-07,783.100,
1983-08,790.100,
1983-09,789.300,
1983-10,792.900,
1983-11,796.900,
1983-12,795.500,
1984-01,799.300,
1984-02,793.300,
1984-03,791.800,
1984-04,797.600,
1984-05,798.300,
1984-06,803.400,
1984-07,810.700,
1984-08,808.700,
1984-09,815.200,
1984-10,817.400,
1984-11,821.200,
1984-12,827.400,
1985-01,830.600,
1985-02,842.800,
1985-03,850.800,
1985-04,865.900,
1985-05,871.000,
1985-06,873.800,
1985-07,876.300,
1985-08,886.800,
1985-09,892.100,
1985-10,892.200,
1985-11,889.100,
1985-12,890.200,
1986-01,888.700,
1986-02,883.800,
1986-03,885.100,
1986-04,885.100,
1986-05,889.800,
1986-06,886.600,
1986-07,885.000,
1986-08,881.100,
1986-09,877.000,
1986-10,873.200,
1986-11,866.400,
1986-12,861.400,
1987-01,857.200,
1987-02,854.800,
1987-03,846.900,
1987-04,834.100,
1987-05,822.700,
1987-06,808.900,
1987-07,808.000,
1987-08,807.700,
1987-09,805.800,
1987-10,801.400,
1987-11,796.400,
1987-12,792.300,
1988-01,781.600,
1988-02,760.800,
1988-03,746.200,
1988-04,739.900,
1988-05,732.900,
1988-06,728.300,
1988-07,723.800,
1988-08,722.000,
1988-09,719.000,
1988-10,701.400,
1988-11,687.500,
1988-12,684.100,
1989-01,680.600,
1989-02,673.100,
1989-03,671.900,
1989-04,666.200,
1989-05,666.700,
1989-06,667.200,
1989-07,667.400,
1989-08,669.200,
1989-09,670.000,
1989-10,671.600,
1989-11,672.700,
1989-12,679.600,
1990-01,686.300,
1990-02,694.000,
1990-03,700.900,
1990-04,707.000,
1990-05,712.300,
1990-06,716.200,
1990-07,715.100,
1990-08,714.000,
1990-09,712.900,
1990-10,713.800,
1990-11,713.100,
1990-12,716.400,
1991-01,719.000,
1991-02,724.400,
1991-03,724.700,
1991-04,725.100,
1991-05,723.000,
1991-06,724.600,
1991-07,726.100,
1991-08,735.600,
1991-09,741.500,
1991-10,750.300,
1991-11,754.500,
1991-12,760.800,
1992-01,762.000,
1992-02,768.200,
1992-03,775.100,
1992-04,778.800,
1992-05,783.500,
1992-06,790.200,
1992-07,788.100,
1992-08,787.600,
1992-09,786.600,
1992-10,782.400,
1992-11,785.100,
1992-12,788.400,
1993-01,794.000,
1993-02,794.900,
1993-03,794.000,
1993-04,795.900,
1993-05,801.100,
1993-06,803.700,
1993-07,806.600,
1993-08,808.400,
1993-09,808.800,
1993-10,808.200,
1993-11,807.600,
1993-12,808.100,
1994-01,808.100,
1994-02,808.000,
1994-03,806.500,
1994-04,807.300,
1994-05,806.100,
1994-06,805.500,
1994-07,802.300,
1994-08,801.100,
1994-09,798.900,
1994-10,796.900,
1994-11,794.300,
1994-12,788.700,
1995-01,786.700,
1995-02,786.000,
1995-03,771.500,
1995-04,760.900,
1995-05,760.100,
1995-06,758.100,
1995-07,756.500,
1995-08,777.100,
1995-09,768.500,
1995-10,765.500,
1995-11,769.200,
1995-12,774.700,
1996-01,784.300,
1996-02,780.700,
1996-03,782.700,
1996-04,778.700,
1996-05,787.900,
1996-06,810.600,
1996-07,813.300,
1996-08,819.200,
1996-09,824.000,
1996-10,831.300,
1996-11,828.800,
1996-12,844.200,
1997-01,861.300,
1997-02,863.900,
1997-03,897.100,
1997-04,892.100,
1997-05,891.800,
1997-06,888.100,
1997-07,892.000,
1997-08,900.800,
1997-09,914.800,
1997-10,965.100,
1997-11,1180.000,
1997-12,1680.000,
1998-01,1510.000,
1998-02,1630.000,
1998-03,1382.100,
1998-04,1335.300,
1998-05,1402.400,
1998-06,1367.000,
1998-07,1236.000,
1998-08,1348.000,
1998-09,1386.900,
1998-10,1317.000,
1998-11,1246.000,
1998-12,1203.000,
1999-01,1175.300,
1999-02,1222.500,
1999-03,1224.700,
1999-04,1188.000,
1999-05,1186.300,
1999-06,1157.500,
1999-07,1204.000,
1999-08,1184.900,
1999-09,1216.500,
1999-10,1199.200,
1999-11,1159.000,
1999-12,1134.500,
2000-01,1123.000,
2000-02,1131.000,
2000-03,1105.700,
2000-04,1109.000,
2000-05,1129.400,
2000-06,1114.900,
2000-07,1116.700,
2000-08,1108.800,
2000-09,1115.000,
2000-10,1139.000,
2000-11,1214.300,
2000-12,1265.000,
2001-01,1259.000,
2001-02,1250.800,
2001-03,1329.000,
2001-04,1320.000,
2001-05,1282.700,
2001-06,1297.500,
2001-07,1300.000,
2001-08,1277.300,
2001-09,1309.000,
2001-10,1296.100,
2001-11,1273.000,
2001-12,1323.000,
2002-01,1314.400,
2002-02,1323.800,
2002-03,1325.900,
2002-04,1293.700,
2002-05,1226.000,
2002-06,1201.300,
2002-07,1188.000,
2002-08,1201.500,
2002-09,1227.800,
2002-10,1221.500,
2002-11,1208.500,
2002-12,1186.300,
2003-01,1170.000,
2003-02,1193.700,
2003-03,1254.600,
2003-04,1215.300,
2003-05,1206.100,
2003-06,1193.100,
2003-07,1179.700,
2003-08,1179.000,
2003-09,1150.200,
2003-10,1183.100,
2003-11,1202.000,
2003-12,1192.600,
2004-01,1173.600,
2004-02,1176.200,
2004-03,1146.600,
2004-04,1173.300,
2004-05,1160.100,
2004-06,1155.500,
2004-07,1170.000,
2004-08,1153.000,
2004-09,1151.800,
2004-10,1119.600,
2004-11,1048.000,
2004-12,1035.000,
2005-01,1025.500,
2005-02,1006.000,
2005-03,1015.500,
2005-04,997.100,
2005-05,1007.900,
2005-06,1025.400,
2005-07,1026.800,
2005-08,1038.400,
2005-09,1041.000,
2005-10,1040.200,
2005-11,1033.500,
2005-12,1004.500,
2006-01,964.600,
2006-02,970.900,
2006-03,971.600,
2006-04,943.400,
2006-05,945.600,
2006-06,948.900,
2006-07,955.200,
2006-08,961.500,
2006-09,946.200,
2006-10,942.300,
2006-11,929.500,
2006-12,928.600,
2007-01,940.900,
2007-02,941.800,
2007-03,940.900,
2007-04,930.800,
