"",BBK01.SUD630,BBK01.SUD630_FLAGS
"",New business (volumes) of German banks / Loans for consumption to households with collateral and/or guarantees,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:00,
2010-06,291,
2010-07,416,
2010-08,425,
2010-09,433,
2010-10,536,
2010-11,456,
2010-12,475,
2011-01,430,
2011-02,449,
2011-03,429,
2011-04,440,
2011-05,527,
2011-06,423,
2011-07,466,
2011-08,461,
2011-09,417,
2011-10,422,
2011-11,434,
2011-12,454,
2012-01,419,
2012-02,471,
2012-03,494,
2012-04,443,
2012-05,404,
2012-06,439,
2012-07,387,
2012-08,450,
2012-09,361,
2012-10,409,
2012-11,358,
2012-12,294,
2013-01,271,
2013-02,426,
2013-03,278,
2013-04,316,
2013-05,273,
2013-06,274,
2013-07,334,
2013-08,259,
2013-09,246,
2013-10,250,
2013-11,221,
2013-12,247,
2014-01,245,
2014-02,217,
2014-03,261,
2014-04,248,
2014-05,220,
2014-06,215,
2014-07,299,
2014-08,193,
2014-09,203,
2014-10,1018,
2014-11,791,
2014-12,625,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. Excluding overdrafts. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
