"",BBK01.CEFCK01,BBK01.CEFCK01_FLAGS
"",Financial derivatives  debtor: Insurance corporations                                                      creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:41,
1999-01,0.4,
1999-04,0.4,
1999-07,0.4,
1999-10,0.4,
2000-01,0.4,
2000-04,0.4,
2000-07,0.4,
2000-10,0.5,
2001-01,0.5,
2001-04,0.6,
2001-07,0.6,
2001-10,0.7,
2002-01,0.7,
2002-04,0.6,
2002-07,1.0,
2002-10,0.8,
2003-01,1.0,
2003-04,1.1,
2003-07,1.0,
2003-10,1.7,
2004-01,1.2,
2004-04,0.9,
2004-07,0.8,
2004-10,0.7,
2005-01,1.1,
2005-04,1.2,
2005-07,1.2,
2005-10,1.2,
2006-01,1.5,
2006-04,1.7,
2006-07,1.8,
2006-10,1.4,
2007-01,1.4,
2007-04,1.9,
2007-07,1.7,
2007-10,1.7,
2008-01,2.7,
2008-04,2.7,
2008-07,2.6,
2008-10,2.8,
2009-01,2.8,
2009-04,1.5,
2009-07,1.5,
2009-10,1.2,
2010-01,1.1,
2010-04,1.2,
2010-07,0.9,
2010-10,1.1,
2011-01,1.0,
2011-04,0.9,
2011-07,1.0,
2011-10,1.0,
2012-01,0.9,
2012-04,0.9,
2012-07,0.9,
2012-10,0.8,
2013-01,0.9,
2013-04,1.0,
2013-07,1.0,
2013-10,0.9,
2014-01,1.1,
2014-04,0.9,
2014-07,1.3,
