"",BBK01.CELE02,BBK01.CELE02_FLAGS
"",short-term loans                                              debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:44,
1999-01,27.7,
1999-04,12.7,
1999-07,-5.5,
1999-10,23.1,
2000-01,23.0,
2000-04,28.0,
2000-07,-32.7,
2000-10,-4.7,
2001-01,103.1,
2001-04,-32.4,
2001-07,-7.8,
2001-10,-32.8,
2002-01,22.6,
2002-04,-25.8,
2002-07,30.2,
2002-10,-20.1,
2003-01,35.6,
2003-04,-22.4,
2003-07,10.1,
2003-10,5.3,
2004-01,39.1,
2004-04,-60.1,
2004-07,42.6,
2004-10,-15.1,
2005-01,19.9,
2005-04,-17.0,
2005-07,24.3,
2005-10,-7.3,
2006-01,13.0,
2006-04,-6.0,
2006-07,44.7,
2006-10,-57.7,
2007-01,64.2,
2007-04,16.4,
2007-07,38.8,
2007-10,19.6,
2008-01,83.0,
2008-04,-8.5,
2008-07,13.4,
2008-10,-21.6,
2009-01,43.4,
2009-04,25.1,
2009-07,-37.1,
2009-10,-36.4,
2010-01,34.7,
2010-04,75.9,
2010-07,22.8,
2010-10,67.2,
2011-01,-3.2,
2011-04,17.7,
2011-07,142.1,
2011-10,-44.2,
2012-01,199.7,
2012-04,109.3,
2012-07,-16.8,
2012-10,-71.2,
2013-01,-47.6,
2013-04,2.2,
2013-07,-43.3,
2013-10,-75.9,
2014-01,-20.4,
2014-04,7.9,
2014-07,3.5,
