"",BBK01.CELF20,BBK01.CELF20_FLAGS
"",long-term loans                                            debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:58,
1999-01,2.3,
1999-04,4.3,
1999-07,1.9,
1999-10,4.5,
2000-01,5.0,
2000-04,3.9,
2000-07,3.6,
2000-10,48.0,
2001-01,10.0,
2001-04,5.2,
2001-07,16.8,
2001-10,10.8,
2002-01,4.1,
2002-04,19.4,
2002-07,7.0,
2002-10,16.3,
2003-01,-5.4,
2003-04,9.2,
2003-07,7.2,
2003-10,-12.3,
2004-01,-22.6,
2004-04,3.8,
2004-07,-2.0,
2004-10,-8.5,
2005-01,4.4,
2005-04,3.3,
2005-07,1.9,
2005-10,3.0,
2006-01,12.7,
2006-04,9.5,
2006-07,7.2,
2006-10,4.4,
2007-01,-3.5,
2007-04,1.3,
2007-07,9.6,
2007-10,-10.2,
2008-01,13.2,
2008-04,6.6,
2008-07,10.8,
2008-10,15.5,
2009-01,4.0,
2009-04,5.5,
2009-07,7.9,
2009-10,0.7,
2010-01,14.3,
2010-04,9.1,
2010-07,1.5,
2010-10,9.2,
2011-01,-0.7,
2011-04,-4.2,
2011-07,3.9,
2011-10,-1.4,
2012-01,6.0,
2012-04,5.6,
2012-07,-2.4,
2012-10,-6.6,
2013-01,0.3,
2013-04,-1.7,
2013-07,-2.9,
2013-10,4.5,
2014-01,0.7,
2014-04,1.3,
2014-07,1.0,
