"",BBAI3.Q.DE.N.V.LE.F52M.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:39,
2005-10,184,
2006-01,201,
2006-04,153,
2006-07,139,
2006-10,166,
2007-01,132,
2007-04,249,
2007-07,942,
2007-10,1036,
2008-01,1054,
2008-04,1087,
2008-07,1156,
2008-10,816,
2009-01,544,
2009-04,540,
2009-07,490,
2009-10,551,
2010-01,835,
2010-04,430,
2010-07,410,
2010-10,338,
2011-01,374,
2011-04,344,
2011-07,438,
2011-10,403,
2012-01,316,
2012-04,326,
2012-07,261,
2012-10,1639,
2013-01,304,
2013-04,312,
2013-07,361,
2013-10,544,
2014-01,665,
2014-04,657,
2014-07,665,
