"",BBK01.CEFX6J,BBK01.CEFX6J_FLAGS
"",Life insurance and annuity entitlements  debtor: Insurance corporations and Pension funds                                 creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:17,
1999-01,457.8,
1999-04,465.5,
1999-07,474.6,
1999-10,484.4,
2000-01,496.6,
2000-04,504.2,
2000-07,512.6,
2000-10,520.0,
2001-01,531.9,
2001-04,538.8,
2001-07,547.4,
2001-10,549.0,
2002-01,560.9,
2002-04,567.7,
2002-07,575.7,
2002-10,566.0,
2003-01,576.4,
2003-04,582.9,
2003-07,589.9,
2003-10,588.0,
2004-01,596.7,
2004-04,602.5,
2004-07,608.5,
2004-10,609.2,
2005-01,618.0,
2005-04,624.1,
2005-07,630.3,
2005-10,639.4,
2006-01,646.6,
2006-04,653.7,
2006-07,660.9,
2006-10,668.0,
2007-01,674.7,
2007-04,681.4,
2007-07,688.2,
2007-10,694.9,
2008-01,694.7,
2008-04,694.4,
2008-07,694.2,
2008-10,693.8,
2009-01,702.3,
2009-04,710.8,
2009-07,719.3,
2009-10,727.8,
2010-01,737.1,
2010-04,746.3,
2010-07,755.5,
2010-10,764.7,
2011-01,767.2,
2011-04,769.6,
2011-07,772.0,
2011-10,774.3,
2012-01,783.1,
2012-04,791.7,
2012-07,800.5,
2012-10,809.1,
2013-01,818.8,
2013-04,828.3,
2013-07,837.8,
2013-10,847.3,
2014-01,861.5,
2014-04,868.2,
2014-07,872.0,
