"",BBK01.CELX5J,BBK01.CELX5J_FLAGS
"",Non-life insurance technical reserves debtor: Insurance corporations and Pension funds                                               creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:52,
1999-01,3.0,
1999-04,1.7,
1999-07,2.0,
1999-10,2.5,
2000-01,3.4,
2000-04,1.7,
2000-07,1.8,
2000-10,0.1,
2001-01,3.4,
2001-04,1.7,
2001-07,2.8,
2001-10,2.9,
2002-01,4.6,
2002-04,1.7,
2002-07,2.1,
2002-10,-2.4,
2003-01,2.5,
2003-04,1.9,
2003-07,1.7,
2003-10,0.8,
2004-01,2.5,
2004-04,1.1,
2004-07,1.6,
2004-10,2.2,
2005-01,3.0,
2005-04,1.5,
2005-07,2.3,
2005-10,4.0,
2006-01,3.6,
2006-04,3.6,
2006-07,3.6,
2006-10,2.5,
2007-01,1.5,
2007-04,1.5,
2007-07,1.5,
2007-10,9.9,
2008-01,2.7,
2008-04,2.6,
2008-07,2.6,
2008-10,3.4,
2009-01,-2.0,
2009-04,7.4,
2009-07,8.8,
2009-10,4.3,
2010-01,-1.5,
2010-04,3.4,
2010-07,5.9,
2010-10,4.0,
2011-01,2.4,
2011-04,3.7,
2011-07,4.2,
2011-10,2.9,
2012-01,2.1,
2012-04,4.5,
2012-07,6.6,
2012-10,6.7,
2013-01,5.2,
2013-04,5.1,
2013-07,5.0,
2013-10,5.2,
2014-01,4.3,
2014-04,4.3,
2014-07,4.2,
