"",BBFN1.M.DE.N.1.L.W1.S1P.H2.T.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H2.T.NV00.EUR.BGA.X001.D_FLAGS
1993-03,.,No value available
1993-04,.,No value available
1993-05,.,No value available
1993-06,.,No value available
1993-07,.,No value available
1993-08,.,No value available
1993-09,.,No value available
1993-10,.,No value available
1993-11,.,No value available
1993-12,1.213,
1994-01,1.059,
1994-02,0.843,
1994-03,0.918,
1994-04,0.912,
1994-05,0.953,
1994-06,0.936,
1994-07,1.265,
1994-08,1.383,
1994-09,1.095,
1994-10,1.497,
1994-11,1.722,
1994-12,1.673,
1995-01,1.501,
1995-02,1.427,
1995-03,1.328,
1995-04,1.371,
1995-05,1.376,
1995-06,1.457,
1995-07,1.450,
1995-08,1.628,
1995-09,1.319,
1995-10,1.456,
1995-11,1.434,
1995-12,1.452,
1996-01,1.418,
1996-02,1.441,
1996-03,1.393,
1996-04,1.398,
1996-05,1.365,
1996-06,1.478,
1996-07,1.458,
1996-08,1.503,
1996-09,1.176,
1996-10,1.251,
1996-11,1.479,
1996-12,1.427,
1997-01,1.495,
1997-02,1.474,
1997-03,1.496,
1997-04,1.477,
1997-05,1.484,
1997-06,1.455,
1997-07,1.476,
1997-08,1.487,
1997-09,1.278,
1997-10,1.235,
1997-11,1.284,
1997-12,1.432,
1998-01,1.656,
1998-02,1.674,
1998-03,1.554,
1998-04,1.544,
1998-05,1.582,
1998-06,1.704,
1998-07,1.761,
1998-08,1.773,
1998-09,1.676,
1998-10,1.658,
1998-11,1.616,
1998-12,1.498,
1999-01,1.525,
1999-02,1.529,
1999-03,1.569,
1999-04,1.583,
1999-05,1.494,
1999-06,1.752,
1999-07,1.740,
1999-08,1.718,
1999-09,1.527,
1999-10,1.584,
1999-11,1.718,
1999-12,1.594,
2000-01,1.578,
2000-02,1.616,
2000-03,1.631,
2000-04,1.552,
2000-05,1.537,
2000-06,1.653,
2000-07,1.803,
2000-08,2.128,
2000-09,2.039,
2000-10,2.109,
2000-11,2.142,
2000-12,2.108,
2001-01,2.180,
2001-02,2.228,
2001-03,2.182,
2001-04,2.330,
2001-05,2.348,
2001-06,2.472,
2001-07,2.321,
2001-08,2.695,
2001-09,2.605,
2001-10,2.625,
2001-11,2.650,
2001-12,2.652,
2002-01,2.668,
2002-02,2.778,
2002-03,2.892,
2002-04,2.520,
2002-05,2.796,
2002-06,2.866,
2002-07,2.842,
2002-08,2.849,
2002-09,2.801,
2002-10,3.075,
2002-11,2.873,
2002-12,2.871,
2003-01,2.886,
2003-02,2.703,
2003-03,2.704,
2003-04,2.910,
2003-05,2.977,
2003-06,2.868,
2003-07,3.178,
2003-08,3.282,
2003-09,3.326,
2003-10,3.397,
2003-11,3.443,
2003-12,3.307,
2004-01,3.364,
2004-02,3.372,
2004-03,4.607,
2004-04,4.746,
2004-05,4.924,
2004-06,4.718,
2004-07,4.818,
2004-08,4.078,
2004-09,4.111,
2004-10,4.313,
2004-11,4.394,
2004-12,4.167,
2005-01,4.206,
2005-02,4.259,
2005-03,4.071,
2005-04,4.126,
2005-05,4.136,
2005-06,4.104,
2005-07,4.103,
2005-08,4.198,
2005-09,4.135,
2005-10,4.186,
2005-11,4.135,
2005-12,4.152,
2006-01,4.369,
2006-02,4.524,
2006-03,4.734,
2006-04,4.750,
2006-05,4.711,
2006-06,4.632,
2006-07,4.975,
2006-08,5.298,
2006-09,5.201,
2006-10,5.218,
2006-11,5.282,
2006-12,5.246,
2007-01,5.283,
2007-02,5.374,
2007-03,5.459,
2007-04,5.647,
2007-05,5.616,
2007-06,5.723,
2007-07,5.883,
2007-08,6.016,
2007-09,5.928,
2007-10,5.833,
2007-11,5.806,
2007-12,5.826,
2008-01,5.980,
2008-02,6.111,
2008-03,6.293,
2008-04,6.407,
2008-05,6.396,
2008-06,6.561,
2008-07,6.579,
2008-08,6.706,
2008-09,6.628,
2008-10,6.733,
2008-11,6.926,
2008-12,6.678,
2009-01,6.868,
2009-02,6.787,
2009-03,6.698,
2009-04,6.718,
2009-05,6.783,
2009-06,6.843,
2009-07,7.114,
2009-08,7.121,
2009-09,6.847,
2009-10,6.791,
2009-11,7.053,
2009-12,7.267,
2010-01,7.454,
2010-02,7.543,
2010-03,7.465,
2010-04,7.531,
2010-05,7.622,
2010-06,7.632,
2010-07,7.660,
2010-08,7.629,
2010-09,7.660,
2010-10,7.857,
2010-11,7.791,
2010-12,8.251,
2011-01,9.037,
2011-02,9.167,
2011-03,9.543,
2011-04,9.604,
2011-05,9.603,
2011-06,9.344,
2011-07,9.546,
2011-08,9.632,
2011-09,9.788,
2011-10,9.800,
2011-11,9.828,
2011-12,9.844,
2012-01,10.019,
2012-02,9.974,
2012-03,9.608,
2012-04,9.574,
2012-05,9.674,
2012-06,9.611,
2012-07,9.773,
2012-08,9.794,
2012-09,9.888,
2012-10,9.342,
2012-11,9.408,
2012-12,9.217,
2013-01,9.404,
2013-02,9.267,
2013-03,9.223,
2013-04,9.374,
2013-05,9.010,
2013-06,8.767,
2013-07,8.424,
2013-08,8.171,
2013-09,8.429,
2013-10,9.015,
2013-11,8.813,
2013-12,8.563,
2014-01,8.678,
2014-02,8.762,
2014-03,8.537,
2014-04,8.646,
2014-05,7.763,
2014-06,8.479,
2014-07,8.674,
2014-08,8.594,
2014-09,8.675,
2014-10,8.420,
2014-11,8.548,
2014-12,8.586,
"","General: From January 1999, including national currencies of the euro-area member states.",
