"",BBK01.CEFP0K,BBK01.CEFP0K_FLAGS
"",Time deposits  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:09,
1999-01,262.0,
1999-04,263.2,
1999-07,270.9,
1999-10,278.4,
2000-01,288.8,
2000-04,291.0,
2000-07,291.6,
2000-10,293.8,
2001-01,299.2,
2001-04,301.7,
2001-07,305.1,
2001-10,307.8,
2002-01,311.5,
2002-04,311.3,
2002-07,313.9,
2002-10,316.6,
2003-01,324.3,
2003-04,324.9,
2003-07,330.2,
2003-10,325.0,
2004-01,334.9,
2004-04,341.3,
2004-07,347.8,
2004-10,352.6,
2005-01,364.1,
2005-04,364.0,
2005-07,365.6,
2005-10,361.7,
2006-01,370.3,
2006-04,378.2,
2006-07,386.2,
2006-10,387.0,
2007-01,398.7,
2007-04,408.2,
2007-07,411.8,
2007-10,416.2,
2008-01,425.7,
2008-04,426.1,
2008-07,424.0,
2008-10,418.7,
2009-01,429.7,
2009-04,428.6,
2009-07,429.1,
2009-10,423.9,
2010-01,428.2,
2010-04,422.5,
2010-07,419.7,
2010-10,411.6,
2011-01,418.3,
2011-04,419.1,
2011-07,420.6,
2011-10,413.4,
2012-01,416.7,
2012-04,413.6,
2012-07,414.8,
2012-10,402.3,
2013-01,404.9,
2013-04,403.3,
2013-07,398.5,
2013-10,395.2,
2014-01,392.2,
2014-04,389.3,
2014-07,384.4,
