"",BBFN1.M.DE.N.1.A.RO.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RO.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1987-07,0.002,
1987-08,0.002,
1987-09,0.002,
1987-10,0.002,
1987-11,0.002,
1987-12,0.002,
1988-01,0.002,
1988-02,0.002,
1988-03,0.001,
1988-04,0.001,
1988-05,0.001,
1988-06,0.001,
1988-07,0.001,
1988-08,0.001,
1988-09,0.001,
1988-10,0.001,
1988-11,0.001,
1988-12,0.001,
1989-01,0.001,
1989-02,0.001,
1989-03,0.001,
1989-04,0.001,
1989-05,0.001,
1989-06,0.001,
1989-07,0.001,
1989-08,0.001,
1989-09,0.001,
1989-10,0.001,
1989-11,0.001,
1989-12,0.002,
1990-01,0.001,
1990-02,0.001,
1990-03,0.001,
1990-04,0.001,
1990-05,0.001,
1990-06,0.002,
1990-07,0.002,
1990-08,0.002,
1990-09,0.002,
1990-10,0.002,
1990-11,0.003,
1990-12,0.003,
1991-01,0.003,
1991-02,0.003,
1991-03,0.002,
1991-04,0.002,
1991-05,0.002,
1991-06,0.002,
1991-07,0.002,
1991-08,0.002,
1991-09,0.002,
1991-10,0.002,
1991-11,0.002,
1991-12,0.002,
1992-01,0.002,
1992-02,0.003,
1992-03,0.005,
1992-04,0.003,
1992-05,0.003,
1992-06,0.003,
1992-07,0.004,
1992-08,0.003,
1992-09,0.003,
1992-10,0.002,
1992-11,0.003,
1992-12,0.005,
1993-01,0.005,
1993-02,0.004,
1993-03,0.005,
1993-04,0.005,
1993-05,0.005,
1993-06,0.005,
1993-07,0.005,
1993-08,0.004,
1993-09,0.002,
1993-10,0.002,
1993-11,0.002,
1993-12,0.002,
1994-01,0.003,
1994-02,0.003,
1994-03,0.003,
1994-04,0.003,
1994-05,0.003,
1994-06,0.003,
1994-07,0.003,
1994-08,0.004,
1994-09,0.004,
1994-10,0.005,
1994-11,0.005,
1994-12,0.005,
1995-01,0.005,
1995-02,0.004,
1995-03,0.005,
1995-04,0.006,
1995-05,0.006,
1995-06,0.006,
1995-07,0.007,
1995-08,0.007,
1995-09,0.007,
1995-10,0.008,
1995-11,0.009,
1995-12,0.006,
1996-01,0.010,
1996-02,0.011,
1996-03,0.010,
1996-04,0.010,
1996-05,0.010,
1996-06,0.011,
1996-07,0.012,
1996-08,0.011,
1996-09,0.010,
1996-10,0.010,
1996-11,0.013,
1996-12,0.012,
1997-01,0.012,
1997-02,0.012,
1997-03,0.015,
1997-04,0.014,
1997-05,0.013,
1997-06,0.011,
1997-07,0.013,
1997-08,0.015,
1997-09,0.014,
1997-10,0.018,
1997-11,0.019,
1997-12,0.021,
1998-01,0.028,
1998-02,0.024,
1998-03,0.031,
1998-04,0.026,
1998-05,0.025,
1998-06,0.025,
1998-07,0.028,
1998-08,0.024,
1998-09,0.025,
1998-10,0.014,
1998-11,0.027,
1998-12,0.028,
1999-01,0.038,
1999-02,0.033,
1999-03,0.031,
1999-04,0.032,
1999-05,0.028,
1999-06,0.027,
1999-07,0.036,
1999-08,0.036,
1999-09,0.036,
1999-10,0.035,
1999-11,0.038,
1999-12,0.033,
2000-01,0.036,
2000-02,0.031,
2000-03,0.034,
2000-04,0.032,
2000-05,0.032,
2000-06,0.029,
2000-07,0.040,
2000-08,0.040,
2000-09,0.041,
2000-10,0.039,
2000-11,0.040,
2000-12,0.034,
2001-01,0.034,
2001-02,0.035,
2001-03,0.036,
2001-04,0.037,
2001-05,0.038,
2001-06,0.030,
2001-07,0.031,
2001-08,0.028,
2001-09,0.040,
2001-10,0.041,
2001-11,0.042,
2001-12,0.046,
2002-01,0.047,
2002-02,0.051,
2002-03,0.055,
2002-04,0.056,
2002-05,0.034,
2002-06,0.036,
2002-07,0.034,
2002-08,0.031,
2002-09,0.040,
2002-10,0.089,
2002-11,0.039,
2002-12,0.043,
2003-01,0.051,
2003-02,0.054,
2003-03,0.058,
2003-04,0.067,
2003-05,0.070,
2003-06,0.076,
2003-07,0.072,
2003-08,0.078,
2003-09,0.079,
2003-10,0.084,
2003-11,0.086,
2003-12,0.096,
2004-01,0.101,
2004-02,0.077,
2004-03,0.077,
2004-04,0.085,
2004-05,0.109,
2004-06,0.119,
2004-07,0.118,
2004-08,0.113,
2004-09,0.148,
2004-10,0.161,
2004-11,0.155,
2004-12,0.194,
2005-01,0.198,
2005-02,0.213,
2005-03,0.232,
2005-04,0.251,
2005-05,0.266,
2005-06,0.279,
2005-07,0.296,
2005-08,0.236,
2005-09,0.244,
2005-10,0.267,
2005-11,0.303,
2005-12,0.316,
2006-01,0.340,
2006-02,0.358,
2006-03,0.352,
2006-04,0.431,
2006-05,0.453,
2006-06,0.420,
2006-07,0.423,
2006-08,0.434,
2006-09,0.415,
2006-10,0.422,
2006-11,0.471,
2006-12,0.569,
2007-01,0.613,
2007-02,0.572,
2007-03,0.651,
2007-04,0.672,
2007-05,0.696,
2007-06,0.725,
2007-07,0.770,
2007-08,0.791,
2007-09,0.821,
2007-10,0.903,
2007-11,0.934,
2007-12,0.926,
2008-01,0.843,
2008-02,0.901,
2008-03,0.932,
2008-04,0.924,
2008-05,0.872,
2008-06,0.916,
2008-07,0.962,
2008-08,0.970,
2008-09,0.970,
2008-10,1.004,
2008-11,0.995,
2008-12,0.918,
2009-01,0.861,
2009-02,0.885,
2009-03,0.942,
2009-04,0.959,
2009-05,0.945,
2009-06,0.993,
2009-07,1.000,
2009-08,1.059,
2009-09,1.069,
2009-10,1.102,
2009-11,1.094,
2009-12,1.063,
2010-01,1.086,
2010-02,1.156,
2010-03,1.154,
2010-04,1.113,
2010-05,1.105,
2010-06,1.080,
2010-07,1.082,
2010-08,1.091,
2010-09,1.109,
2010-10,1.165,
2010-11,1.211,
2010-12,1.174,
2011-01,1.225,
2011-02,1.170,
2011-03,1.175,
2011-04,1.203,
2011-05,1.365,
2011-06,1.168,
2011-07,1.178,
2011-08,1.161,
2011-09,1.126,
2011-10,1.192,
2011-11,1.187,
2011-12,0.990,
2012-01,1.199,
2012-02,1.209,
2012-03,1.240,
2012-04,1.257,
2012-05,1.260,
2012-06,1.237,
2012-07,1.218,
2012-08,1.233,
2012-09,1.217,
2012-10,1.226,
2012-11,1.123,
2012-12,1.153,
2013-01,1.178,
2013-02,1.230,
2013-03,1.228,
2013-04,1.227,
2013-05,1.198,
2013-06,3.216,
2013-07,1.119,
2013-08,1.072,
2013-09,1.130,
2013-10,1.165,
2013-11,1.127,
2013-12,0.848,
2014-01,0.944,
2014-02,0.915,
2014-03,1.305,
2014-04,1.339,
2014-05,0.952,
2014-06,0.926,
2014-07,0.912,
2014-08,0.856,
2014-09,0.871,
2014-10,0.851,
2014-11,0.860,
2014-12,0.843,
