"",BBAI3.Q.DE.N.V.LE.F52M.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:01,
2005-10,12,
2006-01,13,
2006-04,9,
2006-07,8,
2006-10,9,
2007-01,8,
2007-04,14,
2007-07,42,
2007-10,37,
2008-01,54,
2008-04,78,
2008-07,84,
2008-10,62,
2009-01,41,
2009-04,38,
2009-07,33,
2009-10,37,
2010-01,56,
2010-04,29,
2010-07,27,
2010-10,22,
2011-01,24,
2011-04,22,
2011-07,30,
2011-10,29,
2012-01,22,
2012-04,23,
2012-07,18,
2012-10,108,
2013-01,19,
2013-04,19,
2013-07,22,
2013-10,32,
2014-01,38,
2014-04,37,
2014-07,37,
