"",BBEX3.A.AWG.USD.CA.AC.A04,BBEX3.A.AWG.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Aruba / USD 1 = AWG ... (middle),
unit,AWG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:47,
1988,1.79,
1989,1.79,
1990,1.79,
1991,1.79,
1992,1.79,
1993,1.79,
1994,1.79,
1995,1.79,
1996,1.79,
1997,1.79,
1998,1.79,
1999,1.79,
2000,1.79,
2001,1.79,
2002,1.79,
2003,1.79,
2004,1.79,
2005,1.79,
2006,1.79,
2007,1.79,
2008,1.79,
2009,1.79,
2010,1.79,
2011,1.79,
2012,1.79,
2013,1.79,
2014,1.79,
"",General: The Aruban florin is pegged to the US dollar.,
"","Source: Centrale Bank van Aruba, Oranjestad.",
