"",BBK01.CEHO0I,BBK01.CEHO0I_FLAGS
"",Other deposits debtor: All sectors                    G: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:48,
1991-01,8.8,
1991-04,4.9,
1991-07,9.1,
1991-10,25.1,
1992-01,17.0,
1992-04,10.6,
1992-07,13.1,
1992-10,2.4,
1993-01,21.1,
1993-04,11.1,
1993-07,10.0,
1993-10,33.5,
1994-01,14.3,
1994-04,-4.2,
1994-07,-2.6,
1994-10,-10.2,
1995-01,5.0,
1995-04,1.7,
1995-07,8.3,
1995-10,6.3,
1996-01,17.9,
1996-04,1.8,
1996-07,1.4,
1996-10,7.1,
1997-01,11.2,
1997-04,-2.4,
1997-07,1.0,
1997-10,7.9,
1998-01,9.2,
1998-04,-3.8,
1998-07,1.3,
1998-10,10.7,
1999-01,1.0,
1999-04,-12.7,
1999-07,-8.8,
1999-10,0.8,
2000-01,-16.9,
2000-04,-13.4,
2000-07,-10.7,
2000-10,7.7,
2001-01,6.5,
2001-04,0.5,
2001-07,4.3,
2001-10,7.1,
2002-01,-3.9,
2002-04,-11.3,
2002-07,1.4,
2002-10,9.2,
2003-01,1.6,
2003-04,-6.8,
2003-07,-1.5,
2003-10,-0.5,
2004-01,0.6,
2004-04,-4.1,
2004-07,0.2,
2004-10,7.9,
2005-01,-1.2,
2005-04,-4.1,
2005-07,-3.4,
2005-10,2.4,
2006-01,6.9,
2006-04,1.3,
2006-07,8.5,
2006-10,6.1,
2007-01,8.5,
2007-04,4.0,
2007-07,14.2,
2007-10,21.1,
2008-01,11.4,
2008-04,12.8,
2008-07,13.2,
2008-10,37.1,
2009-01,-40.0,
2009-04,-20.1,
2009-07,-22.1,
2009-10,-17.0,
2010-01,-3.8,
2010-04,-3.8,
2010-07,-1.4,
2010-10,13.5,
2011-01,8.1,
2011-04,5.3,
2011-07,6.9,
2011-10,6.2,
2012-01,8.3,
2012-04,-3.4,
2012-07,-8.3,
2012-10,-12.7,
2013-01,-12.6,
2013-04,-12.2,
2013-07,-10.6,
2013-10,0.1,
2014-01,-1.1,
