"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F6._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F6._Z._T._X.N_FLAGS
"","IIP - Other Investment - Insurance, pension and standardized guarantee schemes - Net (Assets minus Liabilities) - Positions - all sectors - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:02,
1999-10,-30773,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-38394,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-48174,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-62481,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-59597,
2004-01,-57467,
2004-04,-55874,
2004-07,-55052,
2004-10,-55267,
2005-01,-57502,
2005-04,-60449,
2005-07,-63431,
2005-10,-65824,
2006-01,-66280,
2006-04,-65642,
2006-07,-63966,
2006-10,-61331,
2007-01,-58213,
2007-04,-54847,
2007-07,-51773,
2007-10,-49568,
2008-01,-47847,
2008-04,-48626,
2008-07,-50006,
2008-10,-51609,
2009-01,-53660,
2009-04,-55694,
2009-07,-57863,
2009-10,-60306,
2010-01,-61849,
2010-04,-63739,
2010-07,-65706,
2010-10,-67583,
2011-01,-69035,
2011-04,-70400,
2011-07,-71645,
2011-10,-72814,
2012-01,-75238,
2012-04,-77569,
2012-07,-79729,
2012-10,-81652,
2013-01,-82789,
2013-04,-83721,
2013-07,-84508,
2013-10,-85229,
2014-01,-86667,
2014-04,-87974,
2014-07,-88818,
