"",BBK01.WZ3428,BBK01.WZ3428_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 29.0 years / end of month",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:42,
2000-01,6.09,
2000-02,5.92,
2000-03,5.68,
2000-04,5.67,
2000-05,5.48,
2000-06,5.52,
2000-07,5.46,
2000-08,5.50,
2000-09,5.66,
2000-10,5.65,
2000-11,5.51,
2000-12,5.46,
2001-01,5.44,
2001-02,5.41,
2001-03,5.42,
2001-04,5.62,
2001-05,5.78,
2001-06,5.69,
2001-07,5.53,
2001-08,5.50,
2001-09,5.60,
2001-10,5.23,
2001-11,5.20,
2001-12,5.41,
2002-01,5.33,
2002-02,5.39,
2002-03,5.64,
2002-04,5.59,
2002-05,5.54,
2002-06,5.36,
2002-07,5.31,
2002-08,5.10,
2002-09,5.00,
2002-10,5.23,
2002-11,5.16,
2002-12,4.94,
2003-01,4.78,
2003-02,4.83,
2003-03,4.93,
2003-04,4.96,
2003-05,4.61,
2003-06,4.80,
2003-07,4.96,
2003-08,4.93,
2003-09,4.90,
2003-10,5.07,
2003-11,5.09,
2003-12,4.97,
2004-01,5.01,
2004-02,4.87,
2004-03,4.82,
2004-04,5.00,
2004-05,5.03,
2004-06,5.00,
2004-07,4.94,
2004-08,4.81,
2004-09,4.70,
2004-10,4.60,
2004-11,4.47,
2004-12,4.38,
2005-01,4.11,
2005-02,4.22,
2005-03,4.20,
2005-04,4.04,
2005-05,3.91,
2005-06,3.75,
2005-07,3.76,
2005-08,3.67,
2005-09,3.72,
2005-10,3.88,
2005-11,3.88,
2005-12,3.69,
2006-01,3.81,
2006-02,3.80,
2006-03,4.03,
2006-04,4.27,
2006-05,4.28,
2006-06,4.37,
2006-07,4.25,
2006-08,4.09,
2006-09,3.89,
2006-10,3.93,
2006-11,3.90,
2006-12,4.09,
2007-01,4.25,
2007-02,4.13,
2007-03,4.28,
2007-04,4.42,
2007-05,4.57,
2007-06,4.73,
2007-07,4.55,
2007-08,4.60,
2007-09,4.67,
2007-10,4.55,
2007-11,4.60,
2007-12,4.70,
2008-01,4.58,
2008-02,4.59,
2008-03,4.68,
2008-04,4.74,
2008-05,4.92,
2008-06,4.97,
2008-07,4.78,
2008-08,4.57,
2008-09,4.69,
2008-10,4.38,
2008-11,3.80,
2008-12,3.69,
2009-01,3.98,
2009-02,3.93,
2009-03,4.03,
2009-04,4.04,
2009-05,4.46,
2009-06,4.32,
2009-07,4.16,
2009-08,4.09,
2009-09,4.04,
2009-10,4.12,
2009-11,4.02,
2009-12,4.15,
2010-01,3.98,
2010-02,3.91,
2010-03,3.86,
2010-04,3.73,
2010-05,3.40,
2010-06,3.33,
2010-07,3.41,
2010-08,2.68,
2010-09,2.91,
2010-10,3.06,
2010-11,3.19,
2010-12,3.46,
2011-01,3.63,
2011-02,3.62,
2011-03,3.84,
2011-04,3.79,
2011-05,3.61,
2011-06,3.78,
2011-07,3.41,
2011-08,3.15,
2011-09,2.74,
2011-10,2.94,
2011-11,3.02,
2011-12,2.42,
2012-01,2.57,
2012-02,2.50,
2012-03,2.53,
2012-04,2.46,
2012-05,1.89,
2012-06,2.38,
2012-07,2.23,
2012-08,2.16,
2012-09,2.27,
2012-10,2.35,
2012-11,2.28,
2012-12,2.14,
2013-01,2.37,
2013-02,2.31,
2013-03,2.20,
2013-04,2.11,
2013-05,2.35,
2013-06,2.48,
2013-07,2.49,
2013-08,2.64,
2013-09,2.59,
2013-10,2.61,
2013-11,2.64,
2013-12,2.78,
2014-01,2.49,
2014-02,2.50,
2014-03,2.47,
2014-04,2.42,
2014-05,2.29,
2014-06,2.22,
2014-07,2.09,
2014-08,1.80,
2014-09,1.93,
2014-10,1.82,
2014-11,1.67,
2014-12,1.48,
2015-01,1.04,
