"",BBK01.CEHFC0,BBK01.CEHFC0_FLAGS
"",longer-term loans debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:35,
1991-01,-0.3,
1991-04,2.9,
1991-07,-0.5,
1991-10,5.1,
1992-01,-0.2,
1992-04,-9.2,
1992-07,-1.1,
1992-10,-12.6,
1993-01,-1.0,
1993-04,4.5,
1993-07,4.2,
1993-10,5.1,
1994-01,1.2,
1994-04,-1.8,
1994-07,0.6,
1994-10,11.8,
1995-01,11.6,
1995-04,10.9,
1995-07,18.2,
1995-10,28.6,
1996-01,6.0,
1996-04,-7.0,
1996-07,13.9,
1996-10,8.9,
1997-01,0.2,
1997-04,8.3,
1997-07,3.4,
1997-10,2.4,
1998-01,8.0,
1998-04,0.0,
1998-07,-3.3,
1998-10,-5.3,
1999-01,-4.7,
1999-04,-0.8,
1999-07,-4.8,
1999-10,6.1,
2000-01,1.9,
2000-04,2.4,
2000-07,-4.7,
2000-10,-11.3,
2001-01,-5.6,
2001-04,-1.7,
2001-07,-2.8,
2001-10,-5.0,
2002-01,-6.0,
2002-04,-4.6,
2002-07,-2.2,
2002-10,-3.0,
2003-01,-1.7,
2003-04,-0.8,
2003-07,3.0,
2003-10,6.8,
2004-01,-1.3,
2004-04,0.1,
2004-07,2.2,
2004-10,-2.1,
2005-01,1.3,
2005-04,-6.4,
2005-07,2.6,
2005-10,-2.6,
2006-01,-3.9,
2006-04,-5.6,
2006-07,-3.3,
2006-10,1.7,
2007-01,-9.8,
2007-04,-3.8,
2007-07,-4.1,
2007-10,-6.1,
2008-01,7.9,
2008-04,0.6,
2008-07,-5.0,
2008-10,-0.8,
2009-01,-1.9,
2009-04,6.9,
2009-07,3.0,
2009-10,2.5,
2010-01,-2.2,
2010-04,13.6,
2010-07,1.2,
2010-10,11.3,
2011-01,4.7,
2011-04,-4.2,
2011-07,4.3,
2011-10,-6.4,
2012-01,15.4,
2012-04,7.5,
2012-07,0.9,
2012-10,5.4,
2013-01,1.2,
2013-04,3.9,
2013-07,-0.3,
2013-10,-1.4,
2014-01,-1.0,
