"",BBK01.OUO002,BBK01.OUO002_FLAGS
"",Lending to banks / Securities issued by banks / Banks majority-owned by foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:15:59,
1985-12,2.723,
1986-01,3.051,
1986-02,3.126,
1986-03,3.216,
1986-04,3.062,
1986-05,3.151,
1986-06,3.267,
1986-07,3.358,
1986-08,3.524,
1986-09,3.677,
1986-10,3.450,
1986-11,3.513,
1986-12,3.488,
1987-01,3.752,
1987-02,3.609,
1987-03,3.697,
1987-04,3.659,
1987-05,3.778,
1987-06,3.438,
1987-07,3.571,
1987-08,3.678,
1987-09,3.615,
1987-10,3.692,
1987-11,3.672,
1987-12,3.715,
1988-01,3.638,
1988-02,3.655,
1988-03,3.411,
1988-04,3.588,
1988-05,3.466,
1988-06,3.400,
1988-07,3.407,
1988-08,3.654,
1988-09,3.657,
1988-10,3.853,
1988-11,3.791,
1988-12,3.593,
1989-01,3.640,
1989-02,3.711,
1989-03,3.773,
1989-04,3.702,
1989-05,3.779,
1989-06,4.230,
1989-07,4.776,
1989-08,4.594,
1989-09,4.539,
1989-10,4.755,
1989-11,4.524,
1989-12,4.087,
1990-01,4.504,
1990-02,4.583,
1990-03,4.404,
1990-04,4.210,
1990-05,4.235,
1990-06,4.010,
1990-07,4.083,
1990-08,4.173,
1990-09,4.402,
1990-10,4.469,
1990-11,4.350,
1990-12,4.347,
1991-01,4.410,
1991-02,4.607,
1991-03,4.742,
1991-04,5.556,
1991-05,5.243,
1991-06,5.109,
1991-07,5.061,
1991-08,5.117,
1991-09,5.011,
1991-10,5.014,
1991-11,5.275,
1991-12,5.471,
1992-01,5.511,
1992-02,5.576,
1992-03,5.551,
1992-04,5.679,
1992-05,5.639,
1992-06,5.804,
1992-07,5.843,
1992-08,5.852,
1992-09,6.161,
1992-10,6.391,
1992-11,6.240,
1992-12,7.556,
1993-01,8.050,
1993-02,8.437,
1993-03,8.857,
1993-04,9.012,
1993-05,9.045,
1993-06,9.116,
1993-07,8.768,
1993-08,8.494,
1993-09,8.687,
1993-10,9.089,
1993-11,9.377,
1993-12,10.689,
1994-01,11.385,
1994-02,11.003,
1994-03,10.698,
1994-04,11.079,
1994-05,10.272,
1994-06,9.652,
1994-07,9.863,
1994-08,9.512,
1994-09,9.236,
1994-10,9.037,
1994-11,9.195,
1994-12,8.738,
1995-01,7.641,
1995-02,8.205,
1995-03,7.743,
1995-04,8.032,
1995-05,8.015,
1995-06,8.228,
1995-07,8.461,
1995-08,8.645,
1995-09,8.645,
1995-10,9.126,
1995-11,8.915,
1995-12,8.815,
1996-01,9.789,
1996-02,9.349,
1996-03,9.484,
1996-04,9.856,
1996-05,9.623,
1996-06,8.823,
1996-07,8.743,
1996-08,8.267,
1996-09,8.769,
1996-10,8.674,
1996-11,8.352,
1996-12,8.252,
1997-01,9.469,
1997-02,9.547,
1997-03,10.004,
1997-04,10.105,
1997-05,9.831,
1997-06,9.688,
1997-07,10.127,
1997-08,9.478,
1997-09,9.933,
1997-10,10.584,
1997-11,9.929,
1997-12,9.655,
1998-01,9.920,
1998-02,9.519,
1998-03,9.336,
1998-04,9.550,
1998-05,9.481,
1998-06,9.358,
1998-07,9.730,
1998-08,10.570,
1998-09,9.298,
1998-10,8.522,
1998-11,9.849,
1998-12,9.570,
1999-01,10.113,
1999-02,8.448,
1999-03,8.624,
1999-04,8.362,
1999-05,9.040,
1999-06,8.697,
1999-07,8.441,
1999-08,8.417,
1999-09,8.645,
1999-10,8.952,
1999-11,9.004,
1999-12,8.729,
2000-01,8.891,
2000-02,9.272,
2000-03,9.458,
2000-04,9.508,
2000-05,9.695,
2000-06,8.708,
2000-07,8.425,
2000-08,8.339,
2000-09,7.579,
2000-10,8.411,
2000-11,8.193,
2000-12,7.451,
2001-01,14.628,
2001-02,15.848,
2001-03,15.372,
2001-04,15.597,
2001-05,17.547,
2001-06,16.568,
2001-07,16.895,
2001-08,16.859,
2001-09,16.251,
2001-10,16.807,
2001-11,17.572,
2001-12,17.826,
2002-01,18.066,
2002-02,18.717,
2002-03,19.098,
2002-04,19.624,
2002-05,35.971,
2002-06,31.634,
2002-07,33.111,
2002-08,33.650,
2002-09,34.166,
2002-10,34.130,
2002-11,34.439,
2002-12,34.600,
2003-01,36.288,
2003-02,36.796,
2003-03,38.950,
2003-04,39.900,
2003-05,41.042,
2003-06,42.352,
2003-07,42.830,
2003-08,43.287,
2003-09,44.442,
2003-10,45.187,
2003-11,45.502,
2003-12,45.309,
2004-01,44.843,
2004-02,45.848,
2004-03,48.093,
2004-04,48.489,
2004-05,48.867,
2004-06,49.685,
2004-07,47.701,
2004-08,47.385,
2004-09,47.506,
2004-10,47.519,
2004-11,48.095,
2004-12,47.263,
2005-01,46.512,
2005-02,46.406,
2005-03,46.997,
2005-04,46.938,
2005-05,47.648,
2005-06,48.446,
2005-07,47.272,
2005-08,47.229,
2005-09,47.199,
2005-10,47.294,
2005-11,46.965,
2005-12,55.308,
2006-01,55.202,
2006-02,54.495,
2006-03,57.002,
2006-04,58.065,
2006-05,57.582,
2006-06,57.679,
2006-07,56.539,
2006-08,57.393,
2006-09,57.884,
2006-10,58.351,
2006-11,59.837,
2006-12,60.968,
2007-01,60.862,
2007-02,62.019,
2007-03,62.302,
2007-04,61.852,
2007-05,63.763,
2007-06,65.404,
2007-07,64.031,
2007-08,64.898,
2007-09,64.225,
2007-10,62.053,
2007-11,63.218,
2007-12,63.757,
2008-01,63.128,
2008-02,63.565,
2008-03,59.728,
2008-04,59.488,
2008-05,63.114,
2008-06,61.207,
2008-07,61.464,
2008-08,62.089,
2008-09,64.513,
2008-10,63.509,
2008-11,63.537,
2008-12,62.958,
2009-01,61.540,
2009-02,60.632,
2009-03,62.187,
2009-04,61.067,
2009-05,61.949,
2009-06,61.300,
2009-07,60.123,
2009-08,59.381,
2009-09,58.159,
2009-10,58.580,
2009-11,58.694,
2009-12,56.047,
2010-01,54.766,
