"",BBAI3.Q.DE.N.V.BF90.F.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:23,
2005-10,1283,
2006-01,1407,
2006-04,1146,
2006-07,1322,
2006-10,945,
2007-01,575,
2007-04,-27,
2007-07,170,
2007-10,-163,
2008-01,-534,
2008-04,-1074,
2008-07,-1171,
2008-10,501,
2009-01,1341,
2009-04,2254,
2009-07,3132,
2009-10,2649,
2010-01,3235,
2010-04,3764,
2010-07,4846,
2010-10,2479,
2011-01,1631,
2011-04,2149,
2011-07,3787,
2011-10,3333,
2012-01,4600,
2012-04,5720,
2012-07,7853,
2012-10,7327,
2013-01,8144,
2013-04,6276,
2013-07,6423,
2013-10,5580,
2014-01,8810,
2014-04,12111,
2014-07,14815,
